CLUSTER,GRUPO_PRINCIPAL,SUBGRUPO,N_PERSONAS,PCT_POBLACION,NOMBRE_PERFIL
0,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,175,5.48,Asistencia secretarial / oficina
1,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,26,0.81,Autoridad académica (Rector/Vicerrector/Decano/Subdecano)
2,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,24,0.75,Autoridad administrativa (Gerente/Director)
3,ADMINISTRATIVO,AUXILIAR_AYUDANTE_OPERATIVO,34,1.06,Auxiliar / ayudante operativo
4,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,599,18.75,Docente no titular / ocasional
5,DOCENTE,DOCENTE_TITULAR_CARRERA,284,8.89,Docente titular de carrera
6,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,16,0.5,Jefatura / supervisión operativa
7,ADMINISTRATIVO,OTROS_AA,4,0.13,Otros (administrativo)
8,ADMINISTRATIVO,PROFESIONAL_ANALISTA,306,9.58,Profesional / Analista
9,ADMINISTRATIVO,PROFESIONAL_ESPECIALIZADO_TECNICO,30,0.94,"Profesional especializado (abogado, psicólogo, etc.)"
10,ADMINISTRATIVO,SERVICIOS_GENERALES_OFICIOS,18,0.56,Servicios generales / oficios
11,DOCENTE,TECNICO_DOCENTE_APOYO,778,24.35,Técnico docente / de investigación
12,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,182,5.7,Técnico operativo / mantenimiento
