IDPERSONA,GRUPO_PRINCIPAL,SUBGRUPO,CLUSTER
452,,,-1
970,,,-1
492,,,-1
256,,,-1
98983,,,-1
3436,,,-1
656762,,,-1
654445,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,12
91509,,,-1
6364,,,-1
315,DOCENTE,DOCENTE_TITULAR_CARRERA,5
659616,,,-1
489,,,-1
651104,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
5522,,,-1
274,DOCENTE,DOCENTE_TITULAR_CARRERA,5
81647,,,-1
98950,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
95409,,,-1
3439,,,-1
266,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,2
519,,,-1
38,,,-1
5821,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,12
568,DOCENTE,TECNICO_DOCENTE_APOYO,11
97530,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
656761,,,-1
592,,,-1
656787,,,-1
81013,,,-1
541,,,-1
597,DOCENTE,DOCENTE_TITULAR_CARRERA,5
15674,,,-1
652452,,,-1
594,,,-1
529,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
78781,,,-1
101231,,,-1
15548,,,-1
81646,,,-1
10308,,,-1
654508,,,-1
398,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
618,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
662103,,,-1
425,,,-1
645695,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
59059,DOCENTE,DOCENTE_TITULAR_CARRERA,5
414,DOCENTE,DOCENTE_TITULAR_CARRERA,5
419,DOCENTE,TECNICO_DOCENTE_APOYO,11
641,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
97998,,,-1
7772,,,-1
654387,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
3445,,,-1
215,ADMINISTRATIVO,OTROS_AA,7
3581,,,-1
653,DOCENTE,DOCENTE_TITULAR_CARRERA,5
3303,,,-1
3678,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,12
648616,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,12
716,DOCENTE,DOCENTE_TITULAR_CARRERA,5
3454,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
3578,DOCENTE,DOCENTE_TITULAR_CARRERA,5
648639,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
656,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
6847,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,1
3680,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,2
649047,DOCENTE,TECNICO_DOCENTE_APOYO,11
3309,DOCENTE,DOCENTE_TITULAR_CARRERA,5
671,DOCENTE,DOCENTE_TITULAR_CARRERA,5
692,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,12
653010,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
3310,DOCENTE,DOCENTE_TITULAR_CARRERA,5
76434,,,-1
709,DOCENTE,DOCENTE_TITULAR_CARRERA,5
39,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,12
6811,ADMINISTRATIVO,PROFESIONAL_ANALISTA,8
3757,,,-1
725,DOCENTE,DOCENTE_TITULAR_CARRERA,5
216,ADMINISTRATIVO,PROFESIONAL_ANALISTA,8
3758,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
679,DOCENTE,DOCENTE_TITULAR_CARRERA,5
654574,,,-1
662514,,,-1
3587,,,-1
13351,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,0
95270,,,-1
86,DOCENTE,DOCENTE_TITULAR_CARRERA,5
6870,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
660646,,,-1
69235,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,0
705,DOCENTE,DOCENTE_TITULAR_CARRERA,5
95516,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,1
6810,,,-1
99083,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
40,,,-1
217,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
66837,,,-1
76446,,,-1
3455,DOCENTE,DOCENTE_TITULAR_CARRERA,5
97455,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,12
98998,,,-1
64234,,,-1
17054,DOCENTE,TECNICO_DOCENTE_APOYO,11
858,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,0
678,DOCENTE,DOCENTE_TITULAR_CARRERA,5
768,DOCENTE,DOCENTE_TITULAR_CARRERA,5
17123,DOCENTE,TECNICO_DOCENTE_APOYO,11
650508,,,-1
656051,,,-1
653814,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,0
649338,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
95473,ADMINISTRATIVO,OTROS_AA,7
654457,,,-1
3683,DOCENTE,DOCENTE_TITULAR_CARRERA,5
77401,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
820,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
12509,,,-1
787,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,2
797,DOCENTE,TECNICO_DOCENTE_APOYO,11
769,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,12
675,DOCENTE,DOCENTE_TITULAR_CARRERA,5
771,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,12
78953,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
95586,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
813,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,0
659649,,,-1
659216,,,-1
649294,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
780,DOCENTE,DOCENTE_TITULAR_CARRERA,5
831,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,12
5280,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
808,DOCENTE,DOCENTE_TITULAR_CARRERA,5
807,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
87496,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,12
843,DOCENTE,DOCENTE_TITULAR_CARRERA,5
658725,,,-1
3760,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
805,DOCENTE,DOCENTE_TITULAR_CARRERA,5
819,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
801,DOCENTE,DOCENTE_TITULAR_CARRERA,5
844,DOCENTE,DOCENTE_TITULAR_CARRERA,5
6939,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
851,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,1
663139,,,-1
95633,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
883,ADMINISTRATIVO,PROFESIONAL_ESPECIALIZADO_TECNICO,9
836,DOCENTE,DOCENTE_TITULAR_CARRERA,5
656771,,,-1
3593,DOCENTE,DOCENTE_TITULAR_CARRERA,5
7179,,,-1
862,ADMINISTRATIVO,PROFESIONAL_ANALISTA,8
662102,,,-1
815,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,2
762,DOCENTE,DOCENTE_TITULAR_CARRERA,5
733,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,0
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,4
667,DOCENTE,DOCENTE_TITULAR_CARRERA,5
662708,,,-1
803,,,-1
