IDPERSONA,RAMA,CLUSTER_RAMA
654445,ADMINISTRATIVO,0
266,ADMINISTRATIVO,5
5821,ADMINISTRATIVO,0
215,ADMINISTRATIVO,5
3678,ADMINISTRATIVO,5
648616,ADMINISTRATIVO,5
3680,ADMINISTRATIVO,5
692,ADMINISTRATIVO,5
39,ADMINISTRATIVO,0
6811,ADMINISTRATIVO,2
216,ADMINISTRATIVO,4
13351,ADMINISTRATIVO,4
69235,ADMINISTRATIVO,4
97455,ADMINISTRATIVO,1
858,ADMINISTRATIVO,4
653814,ADMINISTRATIVO,4
95473,ADMINISTRATIVO,5
787,ADMINISTRATIVO,5
769,ADMINISTRATIVO,5
771,ADMINISTRATIVO,0
813,ADMINISTRATIVO,4
831,ADMINISTRATIVO,4
87496,ADMINISTRATIVO,0
883,ADMINISTRATIVO,4
862,ADMINISTRATIVO,4
815,ADMINISTRATIVO,4
733,ADMINISTRATIVO,4
61594,ADMINISTRATIVO,3
869,ADMINISTRATIVO,5
866,ADMINISTRATIVO,4
946,ADMINISTRATIVO,4
647015,ADMINISTRATIVO,0
878,ADMINISTRATIVO,4
840,ADMINISTRATIVO,4
865,ADMINISTRATIVO,5
1116,ADMINISTRATIVO,4
891,ADMINISTRATIVO,4
1000,ADMINISTRATIVO,3
903,ADMINISTRATIVO,4
978,ADMINISTRATIVO,4
944,ADMINISTRATIVO,3
893,ADMINISTRATIVO,4
939,ADMINISTRATIVO,4
1032,ADMINISTRATIVO,4
969,ADMINISTRATIVO,5
953,ADMINISTRATIVO,4
7197,ADMINISTRATIVO,4
653827,ADMINISTRATIVO,4
3467,ADMINISTRATIVO,3
975,ADMINISTRATIVO,3
13663,ADMINISTRATIVO,4
651451,ADMINISTRATIVO,0
3771,ADMINISTRATIVO,4
919,ADMINISTRATIVO,4
69247,ADMINISTRATIVO,4
102363,ADMINISTRATIVO,0
972,ADMINISTRATIVO,3
938,ADMINISTRATIVO,4
3465,ADMINISTRATIVO,4
1033,ADMINISTRATIVO,4
19999,ADMINISTRATIVO,3
656039,ADMINISTRATIVO,0
1061,ADMINISTRATIVO,4
1038,ADMINISTRATIVO,5
97773,ADMINISTRATIVO,3
11865,ADMINISTRATIVO,2
1268,ADMINISTRATIVO,4
1123,ADMINISTRATIVO,4
95251,ADMINISTRATIVO,3
651295,ADMINISTRATIVO,5
654462,ADMINISTRATIVO,0
97741,ADMINISTRATIVO,0
660656,ADMINISTRATIVO,0
1255,ADMINISTRATIVO,4
655976,ADMINISTRATIVO,0
8331,ADMINISTRATIVO,4
1180,ADMINISTRATIVO,3
1168,ADMINISTRATIVO,3
1229,ADMINISTRATIVO,4
67848,ADMINISTRATIVO,3
95549,ADMINISTRATIVO,4
7809,ADMINISTRATIVO,3
640644,ADMINISTRATIVO,4
1247,ADMINISTRATIVO,3
102085,ADMINISTRATIVO,3
97637,ADMINISTRATIVO,4
1205,ADMINISTRATIVO,3
102302,ADMINISTRATIVO,0
651135,ADMINISTRATIVO,3
96448,ADMINISTRATIVO,1
1375,ADMINISTRATIVO,3
101041,ADMINISTRATIVO,1
1140,ADMINISTRATIVO,3
27983,ADMINISTRATIVO,0
651324,ADMINISTRATIVO,3
1402,ADMINISTRATIVO,4
8244,ADMINISTRATIVO,3
662687,ADMINISTRATIVO,0
1372,ADMINISTRATIVO,3
1457,ADMINISTRATIVO,4
7265,ADMINISTRATIVO,0
1476,ADMINISTRATIVO,4
1485,ADMINISTRATIVO,3
67869,ADMINISTRATIVO,4
8558,ADMINISTRATIVO,3
658681,ADMINISTRATIVO,0
1530,ADMINISTRATIVO,4
1225,ADMINISTRATIVO,4
49404,ADMINISTRATIVO,3
102074,ADMINISTRATIVO,4
1278,ADMINISTRATIVO,3
40081,ADMINISTRATIVO,4
12471,ADMINISTRATIVO,4
1644,ADMINISTRATIVO,4
13703,ADMINISTRATIVO,2
1354,ADMINISTRATIVO,3
1555,ADMINISTRATIVO,3
1385,ADMINISTRATIVO,4
649313,ADMINISTRATIVO,3
1598,ADMINISTRATIVO,3
653764,ADMINISTRATIVO,0
1554,ADMINISTRATIVO,3
76209,ADMINISTRATIVO,0
654570,ADMINISTRATIVO,1
103260,ADMINISTRATIVO,0
102314,ADMINISTRATIVO,4
61700,ADMINISTRATIVO,5
3792,ADMINISTRATIVO,3
9326,ADMINISTRATIVO,4
651323,ADMINISTRATIVO,3
3802,ADMINISTRATIVO,4
654388,ADMINISTRATIVO,0
1660,ADMINISTRATIVO,5
1794,ADMINISTRATIVO,3
8403,ADMINISTRATIVO,5
656778,ADMINISTRATIVO,0
9189,ADMINISTRATIVO,3
101253,ADMINISTRATIVO,0
26207,ADMINISTRATIVO,3
647047,ADMINISTRATIVO,3
103193,ADMINISTRATIVO,1
3497,ADMINISTRATIVO,3
13826,ADMINISTRATIVO,3
3810,ADMINISTRATIVO,5
656842,ADMINISTRATIVO,0
61592,ADMINISTRATIVO,4
1842,ADMINISTRATIVO,4
1206,ADMINISTRATIVO,3
1546,ADMINISTRATIVO,4
1790,ADMINISTRATIVO,3
58491,ADMINISTRATIVO,3
229,ADMINISTRATIVO,3
10133,ADMINISTRATIVO,3
3808,ADMINISTRATIVO,3
9196,ADMINISTRATIVO,4
43817,ADMINISTRATIVO,4
102448,ADMINISTRATIVO,3
66602,ADMINISTRATIVO,4
658714,ADMINISTRATIVO,0
1628,ADMINISTRATIVO,4
231,ADMINISTRATIVO,3
642558,ADMINISTRATIVO,3
86548,ADMINISTRATIVO,3
648757,ADMINISTRATIVO,3
9640,ADMINISTRATIVO,3
654511,ADMINISTRATIVO,1
639518,ADMINISTRATIVO,1
64414,ADMINISTRATIVO,3
