IDPERSONA,CLUSTER_K5
452,5
970,0
492,0
256,5
98983,0
3436,5
656762,0
654445,0
91509,0
6364,0
315,5
659616,0
489,0
651104,6
5522,1
274,2
81647,0
98950,5
95409,0
3439,5
266,4
519,0
38,5
5821,0
568,5
97530,3
656761,0
592,0
656787,0
81013,0
541,5
597,3
15674,0
652452,0
594,5
529,3
78781,5
101231,0
15548,0
81646,0
10308,0
654508,0
398,5
618,5
662103,0
425,0
645695,0
59059,1
414,5
419,3
641,5
97998,0
7772,0
654387,5
3445,0
215,3
3581,0
653,3
3303,0
3678,5
648616,5
716,3
3454,3
3578,3
648639,5
656,5
6847,2
3680,3
649047,5
3309,3
671,3
692,5
653010,3
3310,3
76434,0
709,3
39,0
6811,4
3757,0
725,2
216,4
3758,5
679,3
654574,0
662514,0
3587,5
13351,4
95270,0
86,3
6870,5
660646,0
69235,4
705,3
95516,2
6810,0
99083,5
40,5
217,3
66837,0
76446,0
3455,5
97455,1
98998,0
64234,0
17054,4
858,4
678,3
768,2
17123,0
650508,0
656051,0
653814,4
649338,5
95473,4
654457,0
3683,5
77401,2
820,5
12509,1
787,3
797,4
769,2
675,2
771,0
78953,5
95586,5
813,4
659649,0
659216,0
649294,5
780,2
831,4
5280,5
808,3
807,2
87496,0
843,3
658725,0
3760,3
805,3
819,3
801,3
844,3
6939,5
851,3
663139,1
95633,6
883,4
836,2
656771,0
3593,3
7179,0
862,4
662102,0
815,4
762,5
733,4
129,3
667,3
662708,0
803,0
97471,5
1583,3
6992,2
870,3
61594,4
869,3
656758,0
866,4
653856,0
3313,3
66660,5
3312,2
645724,3
874,5
676,0
946,4
647015,1
103141,5
846,2
878,4
840,4
697,2
3685,3
865,4
18327,3
656058,0
98973,3
896,0
1116,4
130,3
97468,2
652947,0
81409,0
654392,5
652874,0
898,3
891,4
5290,3
654360,2
948,0
3600,2
658170,0
1000,4
903,4
13660,5
98967,0
978,4
944,4
3255,2
893,4
637706,5
912,3
939,4
7281,2
760,3
1032,4
969,4
953,4
652988,0
656760,0
7197,4
653827,4
3467,4
975,4
13663,4
651451,0
954,3
81645,0
651346,3
90,4
3771,4
919,4
923,3
69247,4
7125,0
77113,0
102363,0
660655,0
98974,1
972,4
654361,5
938,4
659610,0
641237,2
656697,0
973,3
3465,4
103128,3
964,2
1033,4
921,3
636088,4
82037,0
656757,0
926,5
662709,0
3471,2
7443,2
1013,3
5325,3
3612,3
19999,4
931,2
96324,3
656039,0
1075,2
1061,4
659609,0
648615,5
643899,4
7351,3
1122,1
1038,3
97773,4
656004,1
20698,0
11865,6
659600,0
660701,0
132,5
1041,3
1060,3
1268,4
660719,0
645801,3
21004,5
5339,3
5336,2
662515,0
23638,1
695,0
1123,4
97463,2
656773,0
645829,5
95251,4
77108,0
13705,3
5337,2
1108,3
1202,3
1170,3
7374,2
449460,0
22250,5
850,3
1086,3
651295,3
654462,0
97741,1
7711,0
659207,0
67497,5
660656,0
1255,4
98969,1
1006,3
1045,3
655976,1
21436,0
1212,3
1043,2
8331,4
22630,0
1180,4
3774,3
3326,2
3777,3
1164,3
1014,0
1168,4
1229,4
3275,2
67848,4
5323,5
22321,3
