IDPERSONA,CLUSTER_SEMANTICO
26,6
38,5
39,4
40,3
86,6
90,6
94,6
96,6
102,3
129,6
130,1
132,6
135,6
139,0
140,5
195,1
215,6
216,4
217,1
228,1
229,8
231,1
244,5
256,7
266,6
274,1
315,6
398,6
414,1
419,6
425,6
452,5
489,3
492,7
519,0
529,6
541,7
568,8
592,6
594,0
597,6
618,3
641,6
653,6
656,6
667,6
671,1
675,3
676,0
678,6
679,3
692,1
695,0
697,6
705,6
709,6
716,1
725,1
733,8
760,6
762,6
768,6
769,6
771,6
780,6
787,6
797,6
801,6
803,8
805,6
807,3
808,1
813,6
815,8
819,1
820,6
831,6
836,3
840,8
843,1
844,6
846,6
850,6
851,3
858,4
862,8
865,6
866,8
869,3
870,1
874,3
878,8
883,8
891,1
893,4
896,4
898,5
903,8
912,6
919,8
921,1
923,6
926,6
931,6
938,8
939,8
944,8
946,8
948,3
953,3
954,1
955,6
958,6
960,7
964,6
969,6
970,7
972,8
973,6
975,8
978,4
981,6
986,6
988,6
990,8
999,6
1000,8
1001,6
1003,6
1006,6
1010,1
1013,6
1014,4
1024,0
1032,8
1033,8
1038,6
1041,6
1043,6
1045,6
1052,8
1058,1
1060,5
1061,8
1063,6
1075,3
1086,6
1094,8
1097,6
1098,6
1101,6
1108,6
1113,7
1116,4
1122,4
1123,8
1135,6
1140,8
1142,1
1145,6
1153,6
1154,1
1164,1
1168,8
1170,6
1176,6
1178,3
1180,8
1193,1
1201,8
1202,5
1205,1
1206,6
1211,6
1212,6
1213,1
1216,3
1219,1
1220,6
1221,0
1225,8
1229,8
1230,3
1231,3
1232,6
1235,1
1246,1
1247,6
1252,6
1255,8
1262,6
1268,8
1277,6
1278,8
1295,8
1298,7
1308,3
1315,1
1322,1
1329,8
1335,6
1339,6
1340,8
1349,1
1354,8
1360,6
1363,1
1364,1
1372,7
1373,6
1375,6
1385,8
1400,6
1402,8
1411,6
1419,0
1421,6
1424,1
1426,6
1430,1
1433,1
1440,0
1444,1
1447,7
1451,1
1457,1
1460,3
1472,6
1476,8
1478,1
1485,8
1496,1
1517,6
1526,6
1527,6
1530,8
1533,7
1534,8
1546,1
1550,1
1553,6
1554,8
1555,8
1557,1
1569,1
1571,0
1576,1
1577,6
1579,0
1583,1
1586,6
1593,5
1595,0
1597,8
1598,8
1601,3
1606,6
1614,6
1616,8
1628,8
1644,8
1657,6
1660,5
1662,3
1668,6
1670,6
1673,0
1674,6
1676,8
1681,6
1687,0
1688,3
1689,6
1697,6
1701,1
