IDPERSONA,RAMA,CLUSTER_RAMA
39,ADMINISTRATIVO,4
215,ADMINISTRATIVO,4
216,ADMINISTRATIVO,6
229,ADMINISTRATIVO,7
231,ADMINISTRATIVO,7
266,ADMINISTRATIVO,4
692,ADMINISTRATIVO,5
733,ADMINISTRATIVO,3
769,ADMINISTRATIVO,4
771,ADMINISTRATIVO,4
787,ADMINISTRATIVO,4
813,ADMINISTRATIVO,4
815,ADMINISTRATIVO,2
831,ADMINISTRATIVO,4
840,ADMINISTRATIVO,7
858,ADMINISTRATIVO,6
862,ADMINISTRATIVO,6
865,ADMINISTRATIVO,4
866,ADMINISTRATIVO,6
869,ADMINISTRATIVO,6
878,ADMINISTRATIVO,3
883,ADMINISTRATIVO,6
891,ADMINISTRATIVO,3
893,ADMINISTRATIVO,6
903,ADMINISTRATIVO,3
919,ADMINISTRATIVO,3
938,ADMINISTRATIVO,6
939,ADMINISTRATIVO,6
944,ADMINISTRATIVO,7
946,ADMINISTRATIVO,3
953,ADMINISTRATIVO,6
958,ADMINISTRATIVO,4
969,ADMINISTRATIVO,4
972,ADMINISTRATIVO,3
975,ADMINISTRATIVO,6
978,ADMINISTRATIVO,6
990,ADMINISTRATIVO,3
1000,ADMINISTRATIVO,6
1032,ADMINISTRATIVO,6
1033,ADMINISTRATIVO,6
1038,ADMINISTRATIVO,4
1061,ADMINISTRATIVO,7
1116,ADMINISTRATIVO,6
1123,ADMINISTRATIVO,6
1140,ADMINISTRATIVO,3
1168,ADMINISTRATIVO,3
1180,ADMINISTRATIVO,3
1205,ADMINISTRATIVO,3
1206,ADMINISTRATIVO,4
1225,ADMINISTRATIVO,6
1229,ADMINISTRATIVO,6
1247,ADMINISTRATIVO,4
1255,ADMINISTRATIVO,6
1268,ADMINISTRATIVO,3
1278,ADMINISTRATIVO,7
1322,ADMINISTRATIVO,7
1354,ADMINISTRATIVO,3
1372,ADMINISTRATIVO,0
1375,ADMINISTRATIVO,4
1385,ADMINISTRATIVO,6
1402,ADMINISTRATIVO,6
1457,ADMINISTRATIVO,4
1476,ADMINISTRATIVO,6
1478,ADMINISTRATIVO,7
1485,ADMINISTRATIVO,2
1496,ADMINISTRATIVO,7
1530,ADMINISTRATIVO,6
1534,ADMINISTRATIVO,7
1546,ADMINISTRATIVO,7
1554,ADMINISTRATIVO,2
1555,ADMINISTRATIVO,6
1598,ADMINISTRATIVO,6
1616,ADMINISTRATIVO,6
1628,ADMINISTRATIVO,6
1644,ADMINISTRATIVO,6
1660,ADMINISTRATIVO,5
1676,ADMINISTRATIVO,7
1787,ADMINISTRATIVO,3
1790,ADMINISTRATIVO,7
1794,ADMINISTRATIVO,7
1842,ADMINISTRATIVO,6
1878,ADMINISTRATIVO,7
1890,ADMINISTRATIVO,6
1991,ADMINISTRATIVO,4
2008,ADMINISTRATIVO,4
2022,ADMINISTRATIVO,3
2031,ADMINISTRATIVO,7
2045,ADMINISTRATIVO,6
2049,ADMINISTRATIVO,7
2058,ADMINISTRATIVO,5
2105,ADMINISTRATIVO,6
2146,ADMINISTRATIVO,3
2237,ADMINISTRATIVO,6
2297,ADMINISTRATIVO,6
2299,ADMINISTRATIVO,5
2350,ADMINISTRATIVO,3
2370,ADMINISTRATIVO,7
2378,ADMINISTRATIVO,7
2380,ADMINISTRATIVO,4
2391,ADMINISTRATIVO,3
2455,ADMINISTRATIVO,4
2535,ADMINISTRATIVO,7
2544,ADMINISTRATIVO,4
2562,ADMINISTRATIVO,7
2567,ADMINISTRATIVO,0
2612,ADMINISTRATIVO,6
2626,ADMINISTRATIVO,7
2693,ADMINISTRATIVO,3
2704,ADMINISTRATIVO,6
2735,ADMINISTRATIVO,7
2748,ADMINISTRATIVO,4
2823,ADMINISTRATIVO,7
2843,ADMINISTRATIVO,7
2846,ADMINISTRATIVO,6
2857,ADMINISTRATIVO,6
2904,ADMINISTRATIVO,6
2957,ADMINISTRATIVO,2
2962,ADMINISTRATIVO,2
3000,ADMINISTRATIVO,6
3088,ADMINISTRATIVO,3
3095,ADMINISTRATIVO,0
3108,ADMINISTRATIVO,7
3403,ADMINISTRATIVO,3
3465,ADMINISTRATIVO,6
3467,ADMINISTRATIVO,6
3497,ADMINISTRATIVO,0
3503,ADMINISTRATIVO,7
3678,ADMINISTRATIVO,5
3680,ADMINISTRATIVO,5
3731,ADMINISTRATIVO,6
3734,ADMINISTRATIVO,3
3735,ADMINISTRATIVO,3
3771,ADMINISTRATIVO,3
3775,ADMINISTRATIVO,4
3776,ADMINISTRATIVO,6
3792,ADMINISTRATIVO,3
3796,ADMINISTRATIVO,7
3802,ADMINISTRATIVO,6
3808,ADMINISTRATIVO,7
3810,ADMINISTRATIVO,4
3814,ADMINISTRATIVO,7
3818,ADMINISTRATIVO,2
3990,ADMINISTRATIVO,0
4062,ADMINISTRATIVO,0
4107,ADMINISTRATIVO,7
4109,ADMINISTRATIVO,5
4145,ADMINISTRATIVO,4
4163,ADMINISTRATIVO,2
4294,ADMINISTRATIVO,7
4329,ADMINISTRATIVO,7
4330,ADMINISTRATIVO,2
4353,ADMINISTRATIVO,7
4444,ADMINISTRATIVO,6
4466,ADMINISTRATIVO,4
4512,ADMINISTRATIVO,7
4584,ADMINISTRATIVO,7
4627,ADMINISTRATIVO,4
4718,ADMINISTRATIVO,5
4736,ADMINISTRATIVO,5
4819,ADMINISTRATIVO,3
4830,ADMINISTRATIVO,2
