Perfil estructural,0,1,2,3,4,6,7
Asistencia secretarial / oficina,4,10,7,0,1,134,22
Autoridad académica (Rector/Vicerrector/Decano/Subdecano),34,0,0,0,2,0,0
Autoridad administrativa (Gerente/Director),10,0,2,0,0,22,4
Auxiliar / ayudante operativo,0,1,3,1,0,9,18
Docente no titular / ocasional,106,0,9,7,469,3,1
Docente titular de carrera,205,1,0,0,61,0,0
Jefatura / supervisión operativa,1,0,0,0,0,11,3
Otros (administrativo),4,0,1,0,0,2,1
Profesional / Analista,44,5,6,1,10,183,43
"Profesional especializado (abogado, psicólogo, etc.)",0,0,1,0,0,15,13
Servicios generales / oficios,0,0,0,0,0,4,11
Técnico docente / de investigación,31,475,77,126,51,8,11
Técnico operativo / mantenimiento,7,16,97,3,7,14,48
