K,SILHOUETTE,CALINSKI_HARABASZ,DAVIES_BOULDIN,MIN_CLUSTER_SIZE,MAX_CLUSTER_SIZE
2,0.31130024538454093,1020.6675028467986,1.627809436185543,819,2376
3,0.22214894487701273,682.8296842289623,2.065486781737029,380,2129
4,0.14252452859210912,586.182739893013,2.1704533137707354,377,1397
5,0.12995132067255347,495.6073596800602,2.290693613663357,269,1099
6,0.1285429802089447,434.40119504612,2.408896810830772,260,1024
7,0.10573930391009005,390.17927660317724,2.3365015380076355,229,849
8,0.10013609981976347,353.8548630659569,2.3893511623176518,184,776
9,0.10884985348524809,326.16853647146604,2.237884224641238,15,829
10,0.09432650175463245,303.1461113129112,2.234123619617185,98,752
11,0.08236979057454749,282.59012261617636,2.2879666995048975,98,463
12,0.08370031002724565,266.2080266147753,2.346929714534728,96,522
