GRUPO_PRINCIPAL,K,SILHOUETTE,DAVIES_BOULDIN,MIN_CLUSTER_SIZE,MAX_CLUSTER_SIZE,ARI_ESTABILIDAD
ADMINISTRATIVO,2,0.1837364217333516,2.138955999809659,558,746,1.0
ADMINISTRATIVO,3,0.1728760539922196,2.327893002245451,141,680,0.9916045903913926
ADMINISTRATIVO,4,0.1456386152277965,2.28353300245157,130,531,0.9846731478924479
ADMINISTRATIVO,5,0.15338678590390226,2.0741358655151765,45,530,0.845310162027876
ADMINISTRATIVO,6,0.13731953316101642,2.1963368664302103,45,522,0.9206159156780422
ADMINISTRATIVO,7,0.08831080390576738,2.2993097144923986,44,310,0.9408549061658702
ADMINISTRATIVO,8,0.09166267898827905,2.312166594922222,40,316,0.9153322441428784
DOCENTE,2,0.27184905336299375,1.6517155658271705,696,1190,1.0
DOCENTE,3,0.19343858501798425,2.051988551904198,352,929,0.9402169005920618
DOCENTE,4,0.11310382244723613,2.2796927948285717,266,655,0.9930144052423435
DOCENTE,5,0.1121760741951402,2.3903634812628773,254,506,0.9715697695111898
DOCENTE,6,0.1086449696225086,2.4155889019101306,179,457,0.932144503405779
DOCENTE,7,0.12001545471928919,2.2317713806436297,15,504,0.7217281793371746
DOCENTE,8,0.08629298950316153,2.375827567819172,145,417,0.6557993586457369
