K,SILHOUETTE,CALINSKI_HARABASZ,DAVIES_BOULDIN,MIN_CLUSTER_SIZE,MAX_CLUSTER_SIZE
2,0.19234104,266.9998,3.3156369424452454,1058,2136
3,0.104469426,212.51524,2.9584803194964358,357,1742
4,0.104229,180.73262,3.534797693277288,358,1258
5,0.10775834,159.34935,3.1842556159590636,170,1075
6,0.08460814,139.5252,3.6373098549414564,186,945
7,0.09065368,125.492256,3.656021848223844,162,1047
8,0.059615094,105.77176,3.617052098052275,143,702
9,0.09766365,109.68998,3.3152629497842607,156,866
10,0.0826478,101.07714,3.329325905769829,107,803
11,0.08639976,94.18265,3.6102852734441373,115,524
12,0.07873863,90.63102,3.463914251385759,137,566
13,0.08196261,86.26144,3.494929716967458,136,575
14,0.058088664,79.480865,3.360802482935185,24,373
15,0.06833445,76.829185,3.6837525951516796,158,335
16,0.06465601,74.912865,3.5184285208078823,70,349
17,0.0746998,69.59648,3.4909259022833328,39,424
18,0.079879895,68.596535,3.4054731877889584,42,396
19,0.06337916,66.88858,3.458822282965086,84,299
20,0.07434677,64.38827,3.1910823560601167,5,352
21,0.06701761,61.28091,3.332708957852865,36,274
22,0.06946361,59.523254,3.383348936340043,38,258
23,0.07202597,57.312878,3.491620418565983,36,240
24,0.072009854,56.27897,3.3521595504600796,37,257
25,0.06949567,55.1183,3.3815245155456233,35,212
