IDPERSONA,PC1,PC2
26,0.024462411,-0.13934605
38,0.0063870642,0.037914507
39,-0.048423108,-0.09612407
40,-0.022324413,0.017576417
86,-0.024012247,-0.22053315
90,-0.03208768,-0.2508572
94,-0.029635599,-0.24387541
96,-0.002476737,-0.19742116
102,0.0022293127,0.067184865
129,-0.02522915,-0.24902435
130,0.04911598,-0.068691015
132,0.08626203,-0.07597887
135,0.010506321,-0.18799956
139,-0.22910738,0.121193156
140,-0.028791862,0.049915288
195,0.08566509,-0.060011722
215,0.07676,-0.109161206
216,-0.14755516,-0.10240319
217,0.12828249,-0.03265045
228,0.12583315,-0.05357545
229,0.051774263,0.024498565
231,0.13716379,0.03501447
244,0.13971019,0.066366404
256,-0.041849762,0.11373742
266,-0.0003811378,-0.23848177
274,0.10983816,-0.09368118
315,0.01882997,-0.18988168
398,-0.0036985637,-0.18325911
414,0.113939315,-0.07275586
419,-0.03614378,-0.22721797
425,-0.020020725,-0.19540662
452,0.10286998,0.07749482
489,-0.026705517,0.078554876
492,-0.042133313,0.04807258
519,-0.2577889,0.08798406
529,-0.014782698,-0.2262562
541,0.02094287,0.08309166
568,0.029025141,-0.008898879
592,0.0050636805,-0.18087055
594,-0.19911663,0.116118014
597,-0.006209942,-0.12911467
618,0.004077053,-0.015129099
641,0.058853216,-0.11175317
653,0.054700296,-0.1084878
656,0.032847136,-0.11187432
667,-0.010351855,-0.10674873
671,0.12695336,-0.07790262
675,0.05380953,-0.012123087
676,-0.24439688,0.10775362
678,0.04509285,-0.13906349
679,0.033863563,-0.054209206
692,0.10831554,0.002007058
695,-0.14645457,0.14951327
697,0.095039845,-0.11361108
705,0.076830365,-0.10114724
709,0.024556318,-0.17005995
716,0.08148663,-0.046002124
725,0.09055284,-0.08781756
733,0.13133226,0.023116214
760,-0.037327416,-0.2493399
762,0.009538237,-0.11190011
768,0.07222318,-0.10722949
769,0.011082762,-0.1905931
771,-0.045924142,-0.15737846
780,0.067067355,-0.10929742
787,0.04702562,-0.13473688
797,-0.019963333,-0.27622476
801,0.051204015,-0.16853108
803,0.0027375652,0.09729945
805,0.011579252,-0.17396684
807,0.0666871,0.019595537
808,0.13165872,-0.030786982
813,0.07672535,-0.13012177
815,-0.0071371733,-0.03352883
819,0.15072419,-0.030359773
820,-0.006391694,-0.25100034
831,0.043251347,-0.18164927
836,0.022019412,-0.015741212
840,0.08307812,-0.0068569914
843,0.11993548,0.0054234955
844,-0.037166808,-0.22942188
846,-0.03929563,-0.24049212
850,-0.0065855808,-0.20323865
851,0.046429534,-0.032373603
858,-0.13027875,-0.05033403
862,0.041004255,0.0059054447
865,0.050718755,-0.1721496
866,-0.020816209,-0.013147046
869,-0.023676686,-0.061185148
870,0.10815838,-0.049697008
874,0.065335646,0.0716809
878,0.0871199,0.020201959
883,-0.020881431,-0.030788656
891,0.10933654,-0.05802517
893,-0.13637081,-0.0654802
896,-0.20019132,-0.02888815
898,0.11483097,-0.012615656
903,0.02008559,0.03741354
912,0.016934898,-0.17856094
919,0.13030851,0.022227215
921,0.115361914,-0.08266823
923,-0.027667936,-0.23503757
926,-0.012384986,-0.21570559
931,-0.0151297655,-0.22208151
938,0.032688513,-0.019783106
939,-0.084431425,-0.052298307
944,0.107583284,-0.007312668
946,0.085417986,-0.074676804
948,-0.058501992,0.03711878
953,-0.03563115,-0.049631305
954,0.09337551,-0.029881096
955,0.02724655,-0.2048058
958,0.076987565,-0.14678214
960,0.014956897,0.060259912
964,-0.021460844,-0.22948053
969,-0.020909706,-0.24889049
970,-0.055597976,0.021437855
972,0.06663318,-0.023912394
973,0.016272344,-0.22947145
975,0.052078445,-0.016592275
978,-0.12491513,-0.03280212
981,-0.02714182,-0.24015555
986,0.022140106,-0.141132
988,0.027413765,-0.1666204
990,0.08243202,-0.0004652032
999,0.023789207,-0.19316708
1000,-0.041579627,-0.040168725
1001,0.00909536,-0.15137182
1003,-0.035502464,-0.17981988
1006,-0.016329635,-0.20603825
1010,0.08693704,0.0055648894
1013,0.0034530815,-0.20824134
1014,-0.21682468,0.01459626
1024,-0.092628226,0.1413449
1032,0.06678118,0.016323134
1033,0.0068813856,-0.01264484
1038,0.057414312,-0.12210128
1041,0.03341466,-0.22279668
1043,0.021402938,-0.1699676
1045,0.07363016,-0.13681802
1052,0.0533794,0.036045257
1058,0.10429546,-0.052704625
1060,0.08711485,-0.060969133
1061,0.11147561,0.0019717643
1063,-0.014829481,-0.22210361
1075,0.054968502,0.03878386
1086,-0.028990075,-0.22892003
1094,0.018805483,0.05361597
1097,-0.029958641,-0.25186718
1098,0.050876617,-0.1667672
1101,0.023389606,-0.22502197
1108,-0.012012864,-0.21072686
1113,0.013549144,0.006205094
1116,-0.088848166,-0.09709493
1122,-0.047650784,-0.14071606
1123,0.04204393,-0.02771815
1135,-0.009043109,-0.21380293
1140,0.13092232,0.03355191
1142,0.0559786,-0.055230867
1145,0.013325504,-0.19044325
1153,0.033911325,-0.1826132
1154,0.14209723,0.06445856
1164,0.074592695,0.005153932
1168,0.08050624,-0.008481542
1170,-0.07159657,-0.2541471
1176,0.014641046,-0.095915936
1178,-0.005500891,-0.046740435
1180,0.11808614,0.027147954
1193,0.040940963,0.0025640286
1201,0.05128602,0.09965058
1202,0.08166077,-0.008378183
1205,0.14589904,0.016497603
1206,0.02702748,-0.1465372
1211,0.0680013,-0.13984516
1212,0.0036158776,-0.18802032
1213,0.11069021,-0.073563755
1216,-0.013655996,-0.081693806
1219,0.14931944,0.071045384
1220,-0.008881249,-0.1915896
1221,-0.100191906,0.1171317
1225,-0.03163521,-0.088532016
1229,-0.034391258,-0.06126511
1230,-0.04212782,-0.060331482
1231,0.057843965,-0.0061316565
1232,-0.011858545,-0.21469714
1235,0.08968269,-0.09111406
1246,0.11109525,-0.0031112067
1247,0.0028359597,-0.16464809
1252,-0.0029537368,-0.07831361
1255,0.028536204,-0.025347069
1262,-0.019527553,-0.24362741
1268,0.08638397,0.010100771
1277,0.029126827,-0.21482782
1278,0.16305164,0.06021259
1295,-0.03439684,0.12474314
1298,-0.069332,0.11315341
1308,0.079736516,-0.028263872
1315,0.040398702,-0.081111565
1322,0.1284173,0.04339592
1329,0.021677146,0.008030187
1335,0.026487505,-0.17040956
1339,0.059551276,-0.119952336
1340,0.008916927,0.11787277
1349,0.101052515,-0.011068087
1354,0.10222966,-0.010914319
1360,0.046512336,-0.17552096
1363,0.12606691,-0.01876907
1364,0.08610227,0.021999015
1372,-0.02636879,0.054232433
1373,-0.030226741,-0.22256792
1375,-0.013058714,-0.21369629
1385,0.007481315,-0.041496653
1400,0.019539965,-0.13954905
1402,0.024449013,-0.054713022
1411,0.033451103,-0.17121665
1419,-0.23721349,0.11353201
1421,0.021111878,-0.18123473
1424,0.09261047,-0.07052964
1426,0.051491044,-0.10854557
1430,0.15724057,0.07084414
1433,0.12599264,0.03501112
1440,-0.045671456,0.115877606
1444,0.09637798,-0.093881495
1447,-0.009966148,0.07196775
1451,0.12059183,0.02701482
1457,0.088658534,-0.10103069
1460,0.043656092,0.071950205
1472,-0.0018952063,-0.21046413
1476,0.061738733,-0.01200635
1478,0.12918563,-0.0077132736
1485,0.033046078,9.4960946e-05
1496,0.10461764,-0.09601195
1517,-0.0008349594,-0.19380859
1526,0.003954681,-0.18981756
1527,0.02914635,-0.17722
1530,0.028606493,-0.020122737
1533,0.041209597,0.022365121
1534,0.08922587,0.009590966
1546,0.10174217,-0.03685323
1550,0.14943516,0.008854067
1553,-0.024534738,-0.21371013
1554,-0.046797603,0.037587624
1555,0.06727887,0.016276456
1557,0.13857019,0.038907405
1569,0.11615827,-0.10141103
1571,-0.18532625,0.11594954
1576,0.103227764,-0.06792606
1577,0.052336697,-0.13461092
1579,-0.19279005,0.13091391
1583,0.10963776,-0.039035823
1586,0.07413581,-0.083048955
1593,0.0764793,0.039280977
1595,-0.21668786,0.13182916
1597,-0.033117007,0.10455542
1598,0.043223154,-0.040239785
1601,-0.009754299,-0.025770783
1606,-0.020730885,-0.24418521
1614,0.019174991,-0.16151796
1616,0.035850495,-0.0024296662
1628,0.03705005,-0.017809961
1644,0.0022091721,0.0043306667
1657,0.02818788,-0.14512229
1660,0.13013245,0.019136481
1662,-0.022403402,-0.0673016
1668,0.04781882,-0.19009016
1670,-0.024803536,-0.17785232
1673,-0.06691175,0.12439148
1674,-0.061904155,-0.2482618
1676,0.123138204,0.0032132177
1681,0.01475047,-0.17695232
1687,-0.23278825,0.108841375
1688,0.02078573,-0.006167848
1689,0.01958823,-0.22366019
1697,-0.01884496,-0.26260772
1701,0.15766191,0.025133304
1706,0.0318183,-0.16102622
1728,-0.044664692,-0.06590365
1730,0.02059628,0.033725712
1741,0.10782578,-0.011357065
1742,0.07791499,0.0045317733
1750,-0.13944863,0.1308102
1752,0.008399164,0.021358058
1760,0.017970137,-0.17794861
1761,-0.15461056,0.12448529
1787,0.15294325,0.054161124
1790,0.100103654,-0.008335341
1794,0.080719024,-0.0035379191
1797,0.100461006,-0.076726034
1812,-0.0140317585,-0.011061373
1833,-0.0102738,0.09759329
1842,0.0060316524,-0.073894784
1848,0.039489534,-0.21388917
1857,0.041115,-0.18733482
1877,0.0627748,-0.15519026
1878,0.14315195,0.004024555
1885,0.1080792,-0.05452391
1888,0.115762204,-0.07076015
1889,-0.026205273,-0.24278538
1890,0.0027251467,-0.048201945
1891,0.07994172,-0.024668138
1903,-0.005215566,-0.022180947
1911,0.027954752,0.08120017
1933,0.074537195,-0.12557766
1935,0.041722026,-0.20935842
1941,0.112308666,0.06863628
1945,0.069146216,-0.077238
1947,0.003186607,-0.18650964
1948,-0.21533625,0.12188117
1961,0.019271288,-0.016553082
1971,0.027444072,-0.16870281
1977,-0.020739192,-0.21632706
1979,0.14047323,-0.038518
1991,0.088973194,-0.09524661
2006,0.07898047,0.027336547
2008,0.013198467,-0.19041055
2019,0.07275575,0.052863095
2022,0.07881382,-0.0012204639
2031,0.12259443,-0.036398757
2036,0.10886777,0.08119195
2045,-0.019329956,0.008664066
2049,0.11227435,-0.005935325
2051,0.021420786,-0.030859658
2052,0.10791101,-0.0561606
2058,0.13353229,0.01039375
2067,0.010054059,-0.22729716
2069,0.08751909,-0.10108952
2081,0.095803276,-0.062732935
2097,0.12705046,0.04903108
2098,0.011161626,-0.2047089
2103,0.1671839,0.046334255
2105,-0.021305228,-0.03795328
2125,-0.031509187,-0.26445213
2137,-0.035466667,0.02355694
2146,0.16258596,0.048770607
2147,0.022935115,-0.13517109
2152,0.01722079,-0.14650711
2161,0.030397214,-0.05819149
2167,0.112198465,-0.018059433
2178,-0.023645412,-0.18768296
2194,0.067649215,-0.13765605
2196,-0.010723587,0.036664944
2200,0.013495913,-0.20075785
2201,-0.014569691,0.095301226
2203,0.049987607,-0.03056463
2204,0.104207575,0.09048877
2208,0.15664622,0.08060934
2216,-0.079290435,-0.00886833
2237,0.06764833,0.021838885
2280,0.06504349,0.002021237
2283,0.013408812,-0.04850227
2293,0.063095205,0.01596054
2297,-0.057467006,-0.005645125
2299,0.15115912,0.034649506
2308,0.14110416,0.06600974
2312,0.07185859,-0.14693026
2350,0.015874023,0.03993876
2355,-0.14518073,-0.02016805
2370,0.1255671,0.016543662
2378,0.07402964,-0.042745702
2380,0.013289556,-0.16963382
2382,-0.13919064,0.102653444
2390,0.09147847,-0.10693926
2391,0.10944131,0.0098731285
2419,-0.002946397,-0.19988035
2431,0.0060612424,0.11619076
2455,0.025360705,-0.16665755
2456,0.06531938,-0.008114413
2469,0.08117292,0.055483494
2487,-0.039519954,0.009419793
2498,0.14928256,0.046340365
2516,0.027346736,-0.20098205
2524,0.12925266,0.01486212
2535,0.14360043,0.030565597
2544,0.07458361,-0.102116
2546,-0.06978002,0.03933853
2562,0.068832874,0.02601229
2567,-0.050519936,0.0006592882
2569,0.10889932,-0.0127137955
2584,-0.24711725,0.1297417
2593,-0.19129573,0.013320957
2600,0.0020824322,0.08049059
2608,0.14752665,0.066204526
2612,0.013690661,-0.033347405
2626,0.034779113,0.035989422
2637,0.10966137,0.036731377
2638,0.082405984,0.10262889
2651,0.05977377,-0.13572794
2655,0.16751611,0.08057172
2657,0.13499351,0.016572004
2663,0.013966348,-0.21941964
2670,-0.22740789,0.1473923
2693,0.051388424,0.01246466
2696,-0.016199565,-0.22785988
2701,0.020148022,0.015239623
2704,-0.0046689305,-0.061185304
2710,0.078588665,0.060608387
2735,0.11764996,-0.0060351556
2748,-0.0066983863,-0.21342656
2753,0.04033896,0.0038341132
2755,0.11323747,-0.08272196
2803,0.16645049,0.04594034
2814,-0.16713557,0.014498289
2815,0.16920558,0.07797508
2823,0.101961434,0.01058102
2824,0.043464422,0.061519913
2830,0.017713584,-0.18467657
2834,0.15591955,0.053102013
2843,0.06486456,0.0043288553
2844,0.0363913,0.037696537
2846,0.0061751944,0.009543755
2850,0.16142742,0.08102842
2857,0.03312407,-0.0008823463
2888,0.05457246,0.06539127
2904,-0.044110674,-0.1066504
2928,-0.22488783,0.10200336
2930,0.053960394,0.04958028
2950,0.11544378,-0.09493158
2957,-0.024256544,0.034917712
2962,-0.054516647,0.016487628
2966,0.04007534,0.05957335
3000,-0.03109891,-0.027203066
3015,0.12697792,0.05292162
3017,-0.058876354,-0.033048157
3025,-0.1670061,-0.014688375
3051,-0.077508904,-0.023572385
3057,0.051279336,-0.14687774
3060,0.10108107,0.028832082
3078,0.09028003,-0.110553585
3079,-0.24711181,0.115346655
3082,-0.14330111,0.124884196
3088,0.0996046,-0.008714781
3093,0.022572353,-0.033588447
3095,-0.02976457,-0.013682463
3097,0.022674827,-0.18186197
3108,0.113915816,0.008570055
3113,-0.13080078,-0.11044198
3130,0.027843352,-0.231078
3131,0.12554696,0.02068919
3160,0.044272732,-0.19772394
3165,-0.021165742,-0.00073350826
3167,-0.18251246,0.011953215
3198,0.13887139,0.03149552
3201,-0.2521645,0.15543999
3208,0.0013467608,-0.051779743
3218,-0.014525394,-0.23130408
3235,-0.010004982,-0.05184524
3246,0.114031814,-0.0008639973
3247,0.093768485,0.020276528
3255,0.014367729,-0.108792044
3275,0.04428363,-0.18629958
3280,-0.007785725,-0.18194528
3286,0.074781135,-0.016880816
3303,0.012457639,0.11458704
3309,0.02344762,-0.15792696
3310,0.07101145,-0.10366937
3312,0.011037187,-0.20448183
