IDPERSONA,MOTIVO_CATEGORIA,ULTIMO_CARGO_REGISTRADO,FECHA_INICIO_ULTIMO_CONTRATO,TIENE_CONTRATO_PUNTUAL_VIGENTE_HOY
425,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2023-03-20,False
592,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2022-06-02,False
896,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2021-07-30,False
948,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - ACTIVIDADES DE CAPACITACIÓN,2024-11-20,False
1122,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-08-01,False
1460,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2021-11-12,False
1752,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2021-12-02,False
1941,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2024-01-15,False
2019,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2021-08-02,False
2216,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2023-01-09,False
2456,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-01-06,False
2814,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE PROYECTOS,2024-09-03,False
3051,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-02-26,False
3113,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2023-01-09,False
3167,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2024-10-25,False
4128,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2019-09-30,False
4134,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2022-02-01,False
4336,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2022-06-02,False
4389,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2024-01-08,False
4500,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-01-06,False
4700,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2021-01-04,False
5474,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-01-06,False
5478,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-11-17,False
6364,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2023-10-17,False
6810,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-03-20,False
7179,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - ACTIVIDADES DE CAPACITACIÓN,2019-05-07,False
7934,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - ACTIVIDADES DE CAPACITACIÓN,2022-07-11,False
8588,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2023-06-01,False
9006,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2021-01-07,False
9345,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-04-20,False
9728,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES CON RUAC,2023-01-09,False
10271,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - ACTIVIDADES DE CAPACITACIÓN,2022-10-17,False
10487,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2023-01-09,False
11243,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-01-06,False
11354,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2022-07-27,False
13135,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2022-05-03,False
13514,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE PROYECTOS,2024-06-19,False
13551,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE PROYECTOS DE INVESTIGACIÓN,2024-04-18,False
14171,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-01-06,False
14628,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2019-09-30,False
15548,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2023-04-10,False
21816,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2022-07-12,False
22124,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - ACTIVIDADES DE CAPACITACIÓN,2022-09-26,False
22473,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-06-17,False
22630,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2021-09-01,False
22802,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-01-06,False
23825,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2020-09-09,False
