CLUSTER,GRUPO_PRINCIPAL,SUBGRUPO,N_PERSONAS,PCT_POBLACION,NOMBRE_PERFIL,PERFIL_NOMBRE,DESCRIPCION
-1,SIN_CARGO_ESTRUCTURAL,CONTRATO_PUNTUAL,719,22.5,Personal por contrato puntual / prestación de servicios (sin cargo estructural),Personal por contrato puntual / prestación de servicios (sin cargo estructural),"719 personas (22.5%), el segundo grupo más numeroso de toda la población. No tienen CATEGORIA_CARGO_ACTUAL ni TIPOEMPLEADO_ACTUAL_DESC (por eso quedan fuera de las 13 categorías de cargo estructural del clustering) — su vínculo con ESPOL es por contrato puntual o prestación de servicios, no un cargo estructural continuo (ver CATEGORIAS_PUNTUALES/DEC-004). Predominan 'Servicios Profesionales - Ejecución de Actividades' (46%) y 'Prestación Servicios Profesionales' (36%) como cargo más frecuente en su historial. Solo 15% vigente actualmente."
0,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,178,5.57,Asistencia secretarial / oficina,Asistencia secretarial / oficina,"173 personas (7.8%). Titulación de bachillerato por sobre el promedio, ninguna facultad asociada de forma distintiva. 62% vigente."
1,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,36,1.13,Autoridad académica (Rector/Vicerrector/Decano/Subdecano),Autoridad académica (Rector/Vicerrector/Decano/Subdecano),"34 personas (1.5%). El cargo real más alto de la institución (Rector, Vicerrector, Decano, Subdecano). Máxima movilidad organizacional (mediana 4 unidades distintas) y mayor volumen contractual histórico (mediana 48.5 contratos). 97% vigente — casi todas las autoridades activas hoy están aquí."
2,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,38,1.19,Autoridad administrativa (Gerente/Director),Autoridad administrativa (Gerente/Director),29 personas (1.3%). Máxima diversidad de categorías de rol y de unidades organizacionales dentro de administrativo — gerentes y directores de área. 76% vigente.
3,ADMINISTRATIVO,AUXILIAR_AYUDANTE_OPERATIVO,32,1.0,Auxiliar / ayudante operativo,Auxiliar / ayudante operativo,"30 personas (1.4%). Sin titulación de tercer nivel, titulación de bachillerato por sobre el promedio. 80% vigente."
4,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,595,18.62,Docente no titular / ocasional,Docente no titular / ocasional,"547 personas (24.7%). Actividad docente real (mediana 8 periodos, 2500 horas, 32 cursos) sin ser parte del escalafón de titulares. 60% vigente."
5,DOCENTE,DOCENTE_TITULAR_CARRERA,267,8.36,Docente titular de carrera,Docente titular de carrera,268 personas (12.1%). El escalafón docente formal: mediana 14 periodos de docencia y la mayor actividad politécnica por término (T1/T2) de la población. 86% vigente.
6,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,15,0.47,Jefatura / supervisión operativa,Jefatura / supervisión operativa,15 personas (0.7%). Heteroevaluación y cobertura de evaluación por debajo del promedio institucional — cargos de jefatura/supervisión con poca o ninguna actividad docente evaluada. 67% vigente.
7,ADMINISTRATIVO,OTROS_AA,8,0.25,Otros (administrativo),Otros (administrativo),"5 personas (0.2%), el grupo más pequeño — cargos administrativos que no encajaron en ninguna categoría de rol definida. 80% vigente."
8,ADMINISTRATIVO,PROFESIONAL_ANALISTA,292,9.14,Profesional / Analista,Profesional / Analista,"294 personas (13.3%), uno de los grupos administrativos más numerosos. Baja diversidad de facultades/regímenes — perfil administrativo profesional estándar (analistas). 73% vigente."
9,ADMINISTRATIVO,PROFESIONAL_ESPECIALIZADO_TECNICO,29,0.91,"Profesional especializado (abogado, psicólogo, etc.)","Profesional especializado (abogado, psicólogo, etc.)","30 personas (1.4%). Profesionales con formación específica (abogacía, psicología, medicina, diseño, etc.) en funciones administrativas. 63% vigente."
10,ADMINISTRATIVO,SERVICIOS_GENERALES_OFICIOS,15,0.47,Servicios generales / oficios,Servicios generales / oficios,"17 personas (0.8%). Oficios y servicios generales (chofer, guardián, jardinero, electricista, etc.), titulación de bachillerato por sobre el promedio. 76% vigente."
11,DOCENTE,TECNICO_DOCENTE_APOYO,779,24.38,Técnico docente / de investigación,Técnico docente / de investigación,"755 personas (34.1%), el grupo más numeroso de toda la población. Apoyo técnico a docencia/investigación (técnico docente, de laboratorio, de investigación), con la menor vigencia de todos los perfiles (35%) — mucha rotación histórica en este tipo de cargo."
12,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,192,6.01,Técnico operativo / mantenimiento,Técnico operativo / mantenimiento,"11 personas (0.5%). Mantenimiento y operación técnica, alta carga horaria por actividad politécnica. 55% vigente."
