CLUSTER,FEATURE,VALUE_CLUSTER,VALUE_GLOBAL,DIFFERENCE,IMPORTANCE,INTERPRETACION
0,N_REGIMENES_DISTINTOS,1.0,2.0,-1.0,1.6002091253950148,Mediana de N_REGIMENES_DISTINTOS muy por debajo del promedio institucional (1 vs 2).
0,NUM_PERIODOS_DOCENCIA,4.0,0.0,4.0,0.6973946893559669,Mediana de NUM_PERIODOS_DOCENCIA por encima del promedio institucional (4 vs 0).
0,NUM_CURSOS,17.0,0.0,17.0,0.5726407703997941,Mediana de NUM_CURSOS por encima del promedio institucional (17 vs 0).
0,NUM_EVALUACIONES,11.0,0.0,11.0,0.5568622480732398,Mediana de NUM_EVALUACIONES por encima del promedio institucional (11 vs 0).
0,TOTAL_HORAS_DOCENCIA,1232.7,0.0,1232.7,0.537102054153738,Mediana de TOTAL_HORAS_DOCENCIA por encima del promedio institucional (1232.7 vs 0).
0,TOTAL_EVALUADOS,401.0,0.0,401.0,0.4390652304287017,Mediana de TOTAL_EVALUADOS por encima del promedio institucional (401 vs 0).
0,NUM_ACTIVIDADES_POLITECNICAS,15.0,4.0,11.0,0.4339857921289209,Mediana de NUM_ACTIVIDADES_POLITECNICAS por encima del promedio institucional (15 vs 4).
0,NUM_ACTIVIDADES_T2,12.0,3.0,9.0,0.4147235007017938,Mediana de NUM_ACTIVIDADES_T2 por encima del promedio institucional (12 vs 3).
1,NUM_TIT_BACHILLERATO,1.0,0.0,1.0,2.0843388748228078,Mediana de NUM_TIT_BACHILLERATO muy por encima del promedio institucional (1 vs 0).
1,N_FACULTADES_DISTINTAS,0.0,1.0,-1.0,1.7152296889995018,Mediana de N_FACULTADES_DISTINTAS muy por debajo del promedio institucional (0 vs 1).
1,N_REGIMENES_DISTINTOS,1.0,2.0,-1.0,1.6002091253950148,Mediana de N_REGIMENES_DISTINTOS muy por debajo del promedio institucional (1 vs 2).
1,ANIOS_EXPERIENCIA_ADMINISTRATIVO,11.15,0.84,10.31,1.279789449958843,Mediana de ANIOS_EXPERIENCIA_ADMINISTRATIVO muy por encima del promedio institucional (11.15 vs 0.84).
1,NUM_TIT_CUARTO_NIVEL,0.0,1.0,-1.0,0.9928748636348658,Mediana de NUM_TIT_CUARTO_NIVEL muy por debajo del promedio institucional (0 vs 1).
1,N_DEDICACIONES_DOCENTE_DISTINTAS,0.0,1.0,-1.0,0.9726033159245472,Mediana de N_DEDICACIONES_DOCENTE_DISTINTAS muy por debajo del promedio institucional (0 vs 1).
1,COBERTURA_EVALUACION,0.8307,0.8975,-0.0667999999999999,0.9655428723807072,Mediana de COBERTURA_EVALUACION muy por debajo del promedio institucional (0.8307 vs 0.8975).
1,TIPOEMPLEADO_ACTUAL_DESC,0.0374149659863945,0.684591052869408,-0.6471760868830134,0.6471760868830134,Categoría predominante en el cluster: 'ADMINISTRATIVO' (96%); a nivel global la más común es 'DOCENTE' (68%).
2,NUM_PERIODOS_DOCENCIA,14.0,0.0,14.0,2.440881412745884,Mediana de NUM_PERIODOS_DOCENCIA muy por encima del promedio institucional (14 vs 0).
