CLUSTER_K5,FEATURE,VALUE_CLUSTER,VALUE_GLOBAL
0,NUM_CAPACITACIONES,0.0,8.0
0,ANTIGUEDAD_EFECTIVA_ANIOS,0.29,3.17
0,N_CARGOS_DISTINTOS,1.0,2.0
0,ANIOS_EXPERIENCIA_ADMINISTRATIVO,0.0,0.57
0,ANIOS_EXPERIENCIA_DOCENTE,0.05,0.38
0,NUM_PUBLICACIONES,0.0,0.0
1,ANTIGUEDAD_EFECTIVA_ANIOS,1.52,3.17
1,N_CARGOS_DISTINTOS,1.0,2.0
1,ANIOS_EXPERIENCIA_ADMINISTRATIVO,1.08,0.57
1,ANIOS_EXPERIENCIA_DOCENTE,0.0,0.38
1,NUM_PUBLICACIONES,0.0,0.0
1,NUM_PROYECTOS_INVESTIGACION,0.0,0.0
2,NUM_CAPACITACIONES,31.0,8.0
2,NUM_PUBLICACIONES,18.0,0.0
2,NUM_PERIODOS_DOCENCIA,14.0,0.0
2,ANIOS_EXPERIENCIA_DOCENTE,13.16,0.38
2,NUM_PROYECTOS_INVESTIGACION,11.0,0.0
2,ANTIGUEDAD_EFECTIVA_ANIOS,11.09,3.17
3,NUM_PERIODOS_DOCENCIA,14.0,0.0
3,NUM_CAPACITACIONES,22.0,8.0
3,ANIOS_EXPERIENCIA_DOCENTE,11.1,0.38
3,ANTIGUEDAD_EFECTIVA_ANIOS,10.87,3.17
3,N_CARGOS_DISTINTOS,6.0,2.0
3,NUM_PUBLICACIONES,2.0,0.0
4,ANIOS_EXPERIENCIA_ADMINISTRATIVO,12.57,0.57
4,NUM_CAPACITACIONES,19.0,8.0
4,ANTIGUEDAD_EFECTIVA_ANIOS,9.68,3.17
4,N_CARGOS_DISTINTOS,4.0,2.0
4,ANIOS_EXPERIENCIA_DOCENTE,0.0,0.38
4,NUM_PUBLICACIONES,0.0,0.0
5,NUM_PERIODOS_DOCENCIA,3.0,0.0
5,ANIOS_EXPERIENCIA_DOCENTE,2.98,0.38
5,N_CARGOS_DISTINTOS,3.0,2.0
5,ANIOS_EXPERIENCIA_ADMINISTRATIVO,0.0,0.57
5,ANTIGUEDAD_EFECTIVA_ANIOS,3.37,3.17
5,NUM_PUBLICACIONES,0.0,0.0
6,NUM_PUBLICACIONES,4.0,0.0
6,NUM_PROYECTOS_INVESTIGACION,4.0,0.0
6,ANIOS_EXPERIENCIA_DOCENTE,1.89,0.38
6,N_CARGOS_DISTINTOS,3.0,2.0
6,ANIOS_EXPERIENCIA_ADMINISTRATIVO,0.74,0.57
6,ANTIGUEDAD_EFECTIVA_ANIOS,3.23,3.17
