CLUSTER_SEMANTICO,FEATURE,VALUE_CLUSTER,VALUE_GLOBAL
0,NUM_CAPACITACIONES,30.0,8.0
0,ANIOS_EXPERIENCIA_DOCENTE,15.35,0.38
0,NUM_PERIODOS_DOCENCIA,12.0,0.0
0,ANTIGUEDAD_EFECTIVA_ANIOS,15.14,3.17
0,N_CARGOS_DISTINTOS,8.0,2.0
0,NUM_PUBLICACIONES,5.0,0.0
1,NUM_CAPACITACIONES,3.0,8.0
1,ANTIGUEDAD_EFECTIVA_ANIOS,1.17,3.17
1,N_CARGOS_DISTINTOS,1.0,2.0
1,ANIOS_EXPERIENCIA_DOCENTE,0.95,0.38
1,ANIOS_EXPERIENCIA_ADMINISTRATIVO,0.0,0.57
1,NUM_PUBLICACIONES,0.0,0.0
2,NUM_CAPACITACIONES,4.0,8.0
2,ANTIGUEDAD_EFECTIVA_ANIOS,1.24,3.17
2,N_CARGOS_DISTINTOS,1.0,2.0
2,ANIOS_EXPERIENCIA_ADMINISTRATIVO,0.99,0.57
2,ANIOS_EXPERIENCIA_DOCENTE,0.0,0.38
2,NUM_PUBLICACIONES,0.0,0.0
3,NUM_CAPACITACIONES,5.0,8.0
3,ANTIGUEDAD_EFECTIVA_ANIOS,1.82,3.17
3,ANIOS_EXPERIENCIA_ADMINISTRATIVO,0.41,0.57
3,ANIOS_EXPERIENCIA_DOCENTE,0.5,0.38
3,NUM_PUBLICACIONES,0.0,0.0
3,NUM_PROYECTOS_INVESTIGACION,0.0,0.0
4,NUM_PERIODOS_DOCENCIA,8.0,0.0
4,ANIOS_EXPERIENCIA_DOCENTE,5.57,0.38
4,NUM_CAPACITACIONES,13.0,8.0
4,ANTIGUEDAD_EFECTIVA_ANIOS,5.74,3.17
4,NUM_PUBLICACIONES,1.0,0.0
4,NUM_PROYECTOS_INVESTIGACION,1.0,0.0
5,NUM_CAPACITACIONES,0.0,8.0
5,ANTIGUEDAD_EFECTIVA_ANIOS,0.17,3.17
5,N_UNIDADES_DISTINTAS,0.0,1.0
5,N_CARGOS_DISTINTOS,1.0,2.0
5,ANIOS_EXPERIENCIA_ADMINISTRATIVO,0.0,0.57
5,ANIOS_EXPERIENCIA_DOCENTE,0.17,0.38
6,ANIOS_EXPERIENCIA_ADMINISTRATIVO,12.36,0.57
6,NUM_CAPACITACIONES,18.0,8.0
6,ANTIGUEDAD_EFECTIVA_ANIOS,9.57,3.17
6,N_CARGOS_DISTINTOS,3.0,2.0
6,ANIOS_EXPERIENCIA_DOCENTE,0.0,0.38
6,NUM_PUBLICACIONES,0.0,0.0
7,NUM_CAPACITACIONES,6.0,8.0
7,ANIOS_EXPERIENCIA_ADMINISTRATIVO,2.4,0.57
7,N_CARGOS_DISTINTOS,1.0,2.0
7,ANTIGUEDAD_EFECTIVA_ANIOS,2.28,3.17
7,ANIOS_EXPERIENCIA_DOCENTE,0.0,0.38
7,NUM_PUBLICACIONES,0.0,0.0
