IDPERSONA,CLUSTER,PERFIL_NOMBRE,TIPOEMPLEADO_ACTUAL_DESC,SUBGRUPO,NUM_TITULACIONES,NUM_TIT_BACHILLERATO,NUM_TIT_CUARTO_NIVEL,NUM_TIT_TERCER_NIVEL,NUM_CAPACITACIONES,SUMA_DURACION_CAPACITACIONES,NUM_CAPACITACIONES_APROBACION,NUM_CAPACITACIONES_VIRTUAL,NUM_CAPACITACIONES_PRESENCIAL,NUM_CERTIFICACIONES,SUMA_DURACION_CERTIFICACIONES,NUM_PONENCIAS,SUMA_DURACION_PONENCIAS,NUM_CURSOS,NUM_PERIODOS_DOCENCIA,TOTAL_HORAS_DOCENCIA,TOTAL_ESTUDIANTES,PROMEDIO_ESTUDIANTES_POR_CURSO,NUM_ACTIVIDADES_POLITECNICAS,NUM_ACTIVIDADES_T1,NUM_ACTIVIDADES_T2,NUM_ACTIVIDADES_T3,TOTAL_HORAS_POLITECNICAS,NUM_EXPERIENCIAS_EXTERNAS,NUM_EXPERIENCIAS_ACADEMICAS,NUM_EXPERIENCIAS_ADMINISTRATIVAS,NUM_EXPERIENCIAS_POR_CLASIFICAR,NUM_EXPERIENCIAS_ROL_PROFESOR,NUM_IDIOMAS,NUM_IDIOMAS_NO_NATIVOS,NUM_IDIOMAS_CON_NIVELMCER,NUM_EVALUACIONES,PROMEDIO_HETEROEVALUACION,TOTAL_REGISTRADOS,TOTAL_EVALUADOS,COBERTURA_EVALUACION,NUM_RECONOCIMIENTOS,NUM_TIPOS_RECONOCIMIENTO_DISTINTOS,NUM_PROYECTOS_GRADO_DIRIGIDOS,NUM_PROGRAMAS_TITULACION_DISTINTOS,NUM_PROYECTOS_INVESTIGACION,NUM_PROYECTOS_ACTIVOS,NUM_PROYECTOS_FINALIZADOS,NUM_PROYECTOS_COMO_DIRECTOR,NUM_PROYECTOS_COMO_CODIRECTOR,NUM_PROYECTOS_COMO_PARTICIPANTE,NUM_PROYECTOS_VINCULACION,NUM_VINCULACION_TUTOR,NUM_VINCULACION_DIRECTOR_PROYECTO,NUM_VINCULACION_DIRECTOR_PROGRAMA,NUM_PUBLICACIONES,NUM_PUBLICACIONES_INDEXADAS,NUM_PUBLICACIONES_REVISION_PARES,NUM_PUBLICACIONES_Q1,NUM_PUBLICACIONES_Q2,N_REGISTROS_HISTORIAL,N_CONTRATOS_TOTAL,N_CARGOS_DISTINTOS,CARGO_MAS_FRECUENTE,MULTIPLES_CARGOS_MISMO_ANIO,N_UNIDADES_DISTINTAS,N_FACULTADES_DISTINTAS,PASO_POR_RECTORADO,N_REGIMENES_DISTINTOS,REGIMEN_INICIAL_DESC,REGIMEN_ACTUAL_DESC,ES_DOCENTE_ADMIN_MIXTO,ANIOS_EXPERIENCIA_DOCENTE,ANIOS_EXPERIENCIA_ADMINISTRATIVO,DEDICACION_DOCENTE_ACTUAL,DEDICACION_DOCENTE_MAS_FRECUENTE,N_DEDICACIONES_DOCENTE_DISTINTAS,PROPORCION_CONTRATOS_FINALIZADOS,VIGENTE_ACTUALMENTE,ANTIGUEDAD_EFECTIVA_ANIOS,ANTIGUEDAD_CALENDARIO_ANIOS,N_REINGRESOS,NIVEL_ACADEMICO_MAXIMO,PROPORCION_CAPACITACIONES_APROBADAS,HORAS_PROMEDIO_POR_ACTIVIDAD_POLITECNICA,NUM_PUBLICACIONES_POR_ANIO,NUM_PROYECTOS_INVESTIGACION_POR_ANIO,N_REGISTROS_TEXTO,N_FUENTES_DISTINTAS,LONGITUD_TOTAL_CARACTERES,CARGO_ACTUAL,UNIDAD_ACTUAL_NOMBRE,VIGENTE_TRAMO_ESTRUCTURAL,ES_MIXTO,CARGOS_ACTUALES_MIXTO,CATEGORIAS_ACTUALES_MIXTO,DURACION_MEDIANA_TRAMO_ANIOS,TURBULENCIA_TRAMOS,ENTROPIA_CATEGORIA_CARGO,PROPORCION_ANIOS_ADMINISTRATIVO,CATEGORIA_ROL_ADICIONAL_MAS_RECIENTE,TUVO_ROL_ADICIONAL_SIMULTANEO,ANIOS_EN_UNIDAD_ACTUAL,TUVO_FUNCION_ADICIONAL,CATEGORIA_FUNCION_ADICIONAL_MAS_RECIENTE,CARGO_ES_CONTRATO_PUNTUAL_VIGENTE
452,-1,Personal por contrato puntual / prestación de servicios (sin cargo estructural),,,3.0,0.0,2.0,1.0,3.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,9.0,2989.49,245.0,9.42,35.0,33.0,34.0,17.0,14007.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,91.73,451.0,378.0,0.8381,0.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,14.0,5.0,3.0,PROFESOR INVITADO,True,1.0,1.0,False,1.0,CONTRATO CIVIL,CONTRATO CIVIL,False,6.98,0.0,Tiempo Completo,Tiempo Completo,1.0,1.0,False,7.76,9.51,6.0,cuarto_nivel,0.0,400.2,0.5154639175257733,0.3865979381443299,24.0,6.0,1752.0,,,,False,,,,,,,,False,,False,,False
970,-1,Personal por contrato puntual / prestación de servicios (sin cargo estructural),,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.3,830.0,598.0,0.7205,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,PRESTACIÓN SERVICIOS PROFESIONALES,True,0.0,0.0,False,1.0,CONTRATO CIVIL,CONTRATO CIVIL,False,0.16,0.0,Tiempo Parcial,Tiempo Parcial,1.0,1.0,False,0.16,5.89,6.0,tercer_nivel,,,,,7.0,1.0,1281.0,,,,False,,,,,,,,False,,False,,False
492,-1,Personal por contrato puntual / prestación de servicios (sin cargo estructural),,,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,72.17,456.0,399.0,0.875,0.0,0.0,57.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,PRESTACIÓN SERVICIOS PROFESIONALES,False,0.0,0.0,False,1.0,CONTRATO CIVIL,CONTRATO CIVIL,False,0.23,0.0,Tiempo Parcial,Tiempo Parcial,1.0,1.0,False,0.23,5.81,5.0,cuarto_nivel,,,,,50.0,3.0,7921.0,,,,False,,,,,,,,False,,False,,False
256,-1,Personal por contrato puntual / prestación de servicios (sin cargo estructural),,,3.0,0.0,1.0,2.0,9.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,7.0,7.0,4.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.39,1583.0,1306.0,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,PROFESOR HONORARIO,False,1.0,1.0,False,1.0,CONTRATO CIVIL,CONTRATO CIVIL,False,2.8,0.0,Tiempo Parcial,Tiempo Parcial,2.0,1.0,False,3.67,4.82,7.0,cuarto_nivel,0.0,130.0,0.0,0.0,9.0,1.0,561.0,,,,False,,,,,,,,False,,False,,False
98983,-1,Personal por contrato puntual / prestación de servicios (sin cargo estructural),,,2.0,0.0,0.0,2.0,1.0,174.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,SERVICIOS PROFESIONALES - ACTIVIDADES DE CAPACITACIÓN,True,1.0,0.0,False,1.0,CONTRATO CIVIL,CONTRATO CIVIL,False,0.0,2.05,,,0.0,1.0,False,2.05,2.67,7.0,tercer_nivel,1.0,,0.0,0.0,3.0,2.0,30.0,,,,False,,,,,,,,False,,False,,False
3436,-1,Personal por contrato puntual / prestación de servicios (sin cargo estructural),,,2.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.0,23.0,20.0,6.0,3412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.86,2122.0,1723.0,0.812,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,3.0,PROFESOR HONORARIO,True,2.0,2.0,False,1.0,CONTRATO CIVIL,CONTRATO CIVIL,False,3.17,0.0,Medio Tiempo,Medio Tiempo,3.0,1.0,False,4.32,5.46,11.0,cuarto_nivel,0.0,142.16666666666666,0.0,0.0,8.0,2.0,1175.0,,,,False,,,,,,,,False,,False,,False
656762,-1,Personal por contrato puntual / prestación de servicios (sin cargo estructural),,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,PRESTACIÓN SERVICIOS PROFESIONALES,False,0.0,0.0,False,1.0,CONTRATO CIVIL,CONTRATO CIVIL,False,0.03,0.0,Tiempo Parcial,Tiempo Parcial,1.0,1.0,False,0.03,1.6,1.0,cuarto_nivel,,,,,0.0,0.0,0.0,,,,False,,,,,,,,False,,False,,False
654445,12,Técnico operativo / mantenimiento,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS,False,1.0,0.0,False,1.0,CONTRATO CIVIL,CONTRATO CIVIL,False,0.0,0.5,,,0.0,1.0,False,0.5,0.5,0.0,cuarto_nivel,,,,,0.0,0.0,0.0,TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS,CENTRO DE INVESTIGACIÓN Y PROYECTOS APLICADOS A LAS CIENCIAS DE LA TIERRA,False,False,,,0.5,,-0.0,1.0,,False,0.5,False,,False
91509,-1,Personal por contrato puntual / prestación de servicios (sin cargo estructural),,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,PRESTACIÓN SERVICIOS PROFESIONALES,False,0.0,0.0,False,1.0,CONTRATO CIVIL,CONTRATO CIVIL,False,0.25,0.0,Tiempo Parcial,Tiempo Parcial,1.0,1.0,False,0.25,2.23,3.0,cuarto_nivel,,,,,19.0,1.0,3318.0,,,,False,,,,,,,,False,,False,,False
6364,-1,Personal por contrato puntual / prestación de servicios (sin cargo estructural),,,2.0,0.0,0.0,2.0,2.0,32.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,False,2.0,1.0,False,1.0,CONTRATO CIVIL,CONTRATO CIVIL,False,0.0,0.71,,,0.0,1.0,False,0.71,2.22,3.0,tercer_nivel,0.5,,,,3.0,2.0,150.0,,,,False,,,,,,,,False,,False,,False
