IDPERSONA,N_REGISTROS_TEXTO,N_FUENTES_DISTINTAS,LONGITUD_TOTAL_CARACTERES
452,24.0,6.0,1752.0
970,7.0,1.0,1281.0
492,50.0,3.0,7921.0
256,9.0,1.0,561.0
98983,3.0,2.0,30.0
3436,8.0,2.0,1175.0
656762,0.0,0.0,0.0
654445,0.0,0.0,0.0
91509,19.0,1.0,3318.0
6364,3.0,2.0,150.0
315,0.0,0.0,0.0
659616,1.0,1.0,8.0
489,14.0,3.0,566.0
651104,43.0,6.0,4090.0
5522,91.0,3.0,12095.0
274,119.0,7.0,12954.0
81647,2.0,2.0,247.0
98950,27.0,2.0,1502.0
95409,4.0,1.0,172.0
3439,35.0,2.0,2302.0
266,32.0,2.0,1459.0
519,0.0,0.0,0.0
38,9.0,4.0,862.0
5821,4.0,2.0,489.0
568,25.0,3.0,928.0
97530,26.0,6.0,1592.0
656761,1.0,1.0,138.0
592,0.0,0.0,0.0
656787,1.0,1.0,8.0
81013,0.0,0.0,0.0
541,37.0,3.0,2280.0
597,20.0,3.0,2234.0
15674,0.0,0.0,0.0
652452,0.0,0.0,0.0
594,1.0,1.0,51.0
529,63.0,7.0,4660.0
78781,12.0,6.0,1495.0
101231,5.0,3.0,378.0
15548,5.0,1.0,59.0
81646,16.0,2.0,3568.0
10308,0.0,0.0,0.0
654508,1.0,1.0,28.0
398,61.0,4.0,3507.0
618,6.0,2.0,255.0
662103,0.0,0.0,0.0
425,4.0,2.0,224.0
645695,1.0,1.0,15.0
59059,43.0,3.0,3125.0
414,39.0,3.0,1812.0
419,35.0,5.0,1954.0
641,10.0,1.0,489.0
97998,0.0,0.0,0.0
7772,1.0,1.0,127.0
654387,9.0,4.0,269.0
3445,23.0,3.0,955.0
215,4.0,3.0,308.0
3581,4.0,2.0,85.0
653,43.0,4.0,4460.0
3303,10.0,4.0,629.0
3678,52.0,5.0,3725.0
648616,11.0,4.0,678.0
716,19.0,3.0,1089.0
3454,21.0,5.0,1858.0
3578,50.0,7.0,6326.0
648639,9.0,4.0,575.0
656,34.0,2.0,1350.0
6847,114.0,6.0,7619.0
3680,26.0,5.0,1542.0
649047,9.0,2.0,389.0
3309,151.0,5.0,7330.0
671,69.0,5.0,3729.0
692,14.0,3.0,1174.0
653010,43.0,7.0,2665.0
3310,129.0,7.0,7846.0
76434,0.0,0.0,0.0
709,52.0,7.0,5319.0
39,0.0,0.0,0.0
6811,61.0,4.0,4541.0
3757,4.0,1.0,147.0
725,37.0,7.0,3114.0
216,2.0,1.0,35.0
3758,5.0,2.0,481.0
679,6.0,3.0,465.0
654574,3.0,2.0,121.0
662514,2.0,1.0,64.0
3587,46.0,3.0,3545.0
13351,8.0,1.0,295.0
95270,0.0,0.0,0.0
86,68.0,8.0,4341.0
6870,8.0,1.0,256.0
660646,1.0,1.0,8.0
69235,24.0,1.0,901.0
705,33.0,6.0,3022.0
95516,39.0,8.0,3136.0
6810,4.0,2.0,128.0
99083,5.0,3.0,135.0
40,12.0,3.0,803.0
217,34.0,7.0,1756.0
66837,8.0,1.0,293.0
76446,30.0,1.0,4353.0
3455,6.0,5.0,415.0
97455,15.0,2.0,812.0
98998,2.0,1.0,299.0
64234,2.0,2.0,140.0
17054,32.0,2.0,1105.0
858,5.0,1.0,189.0
678,87.0,7.0,5510.0
768,57.0,6.0,4271.0
17123,4.0,2.0,118.0
650508,0.0,0.0,0.0
656051,0.0,0.0,0.0
653814,16.0,2.0,454.0
649338,19.0,3.0,597.0
95473,13.0,3.0,582.0
654457,3.0,2.0,108.0
3683,0.0,0.0,0.0
77401,76.0,8.0,7821.0
820,38.0,2.0,1209.0
12509,8.0,2.0,335.0
787,85.0,6.0,4322.0
797,3.0,1.0,112.0
769,157.0,7.0,11230.0
675,330.0,5.0,19712.0
771,5.0,2.0,178.0
