IDPERSONA,FUENTE,TEXTO
26,PUBLICACION,SUBTHALAMIC NUCLEUS AND SUBSTANTIA NIGRA AUTOMATIC SEGMENTATION USING CONVOLUTIONAL SEGMENTATION TRANSFORMERS (CONV-SETR)
26,PUBLICACION,AN ARTIFICIAL INTELLIGENCE APPROACH FOR SEGMENTING AND CLASSIFYING BRAIN LESIONS CAUSED BY STROKE
26,PUBLICACION,THE MOTOR INHIBITORY NETWORK IN PATIENTS WITH ASYMMETRICAL PARKINSON’S DISEASE: AN FMRI STUDY
26,PUBLICACION,BRAIN ACTIVITY AND FUNCTIONAL CONNECTIVITY PATTERNS ASSOCIATED WITH FAST AND SLOW MOTOR SEQUENCE LEARNING IN LATE MIDDLE ADULTHOOD
26,PUBLICACION,IDENTIFICATION OF LOWER-LIMB MOTOR TASKS VIA BRAIN–COMPUTER INTERFACES: A TOPICAL OVERVIEW
26,PUBLICACION,AUTOMATIC BRAIN WHITE MATTER HYPERINTENSITIES SEGMENTATION WITH SWIN U-NET
26,PUBLICACION,ELECTROOCULOGRAPHY SIGNALS CLASSIFICATION FOR FPGA-BASED HUMAN-COMPUTER INTERACTION
26,PUBLICACION,ANATOMICAL PATTERNS RECOGNITION OF IMPULSE CONTROL DISORDERS OF PARKINSONIAN PATIENTS USING DEEP LEARNING OF MRI STRUCTURAL IMAGES
26,PUBLICACION,SUPERVISED MACHINE LEARNING APPLIED TO NON-INVASIVE EMG SIGNAL CLASSIFICATION FOR AN ANTHROPOMORPHIC ROBOTIC HAND
26,PUBLICACION,FAULT DIAGNOSING FOR ELECTRIC MOTORS BASED IN NOISE DATA CLASSIFICATION USING DEEP LEARNING
26,PUBLICACION,FEDERATED LEARNING ENABLES BIG DATA FOR RARE CANCER BOUNDARY DETECTION
26,PUBLICACION,A PIPELINE FOR SEGMENTING AND CLASSIFYING BRAIN LESIONS CAUSED BY STROKE: A MACHINE LEARNING APPROACH
26,PUBLICACION,AUTOMATIC BRAIN WHITE MATTER HYPERTINSITIES SEGMENTATION USING DEEP LEARNING TECHNIQUES
26,PUBLICACION,TOWARDS CUSTOMIZED MEDICINE WITH OPEN-SOURCE APPLICATIONS IN DEVELOPING COUNTRIES: FOOT DROP AND TRANSTIBIAL PROSTHESIS
26,PUBLICACION,A 3D-PRINTED EEG BASED PROSTHETIC ARM
26,PUBLICACION,BCI SYSTEM USING A NOVEL PROCESSING TECHNIQUE BASED ON ELECTRODES SELECTION FOR HAND PROSTHESIS CONTROL
26,PUBLICACION,SSVEP-EEG SIGNAL CLASSIFICATION BASED ON EMOTIV EPOC BCI AND RASPBERRY PI
26,PUBLICACION,A VOICE ANALYSIS APPROACH FOR RECOGNIZING PARKINSON’S DISEASE PATTERNS
26,PUBLICACION,CLASSIFICATION OF SUBJECTS WITH PARKINSON’S DISEASE USING FINGER TAPPING DATASET
26,PUBLICACION,PATTERN RECOGNITION OF WHITE MATTER LESIONS ASSOCIATED WITH DIABETES MELLITUS TYPE 2
26,PUBLICACION,PRE-OPERATIVE PATIENT-SPECIFIC ALLOPLASTIC IMPLANT DESIGN AND MANUFACTURING: ​ CRANIOPLASTY APPLICATION
26,PUBLICACION,EMG SIGNAL PROCESSING WITH CLUSTERING ALGORITHMS FOR MOTOR GESTURE TASKS
26,PUBLICACION,SIX-AXIS LOWER-LIMB EXOSKELETON CONTROL SYSTEM BASED ON NEURAL NETWORKS
26,PUBLICACION,EEG SIGNAL CLUSTERING FOR MOTOR AND IMAGINARY MOTOR TASKS ON HANDS AND FEET
26,PUBLICACION,SUPERVISED PATTERN RECOGNITION TECHNIQUES FOR DETECTING MOTOR INTENTION OF LOWER LIMBS IN SUBJECTS WITH CEREBRAL PALSY
26,PUBLICACION,IN VITRO BIOACTIVE RESPONSE OF VERO-CELLS ON POLYMETHYL-METHACRYLATE CRANIOFACIAL IMPLANTS ALTERED WITH HYDROXY-APATITE/CARBOXYMETHYLCELLULOSE
26,PUBLICACION,IN VITRO BIOACTIVE RESPONSE OF VERO-CELLS ON POLYMETHYL- METHACRYLATE CRANIOFACIAL IMPLANTS ALTERED WITH HYDROXY-APATITE/CARBOXYMETHYLCELLULOSE
26,PUBLICACION,FUNCTIONAL AND ANATOMICAL BASIS FOR BRAIN PLASTICITY IN FACIAL PALSY REHABILITATION USING THE MASSETERIC NERVE
26,PUBLICACION,DISEÑO Y FABRICACIÓN DE PROTOTIPOS DE IMPLANTES PERSONALIZADOS MEDIANTE CAD-CAM PARA APLICACIONES EN CIRUGÍAS RECONSTRUCTIVAS CRÁNEO-MAXILOFACIALES
