IDPERSONA,DOCUMENTO_TRAYECTORIA_TEXTO,N_CARGOS_TOTAL,N_CARGOS_SIGNIFICATIVOS,N_CAMBIOS_CARGO,N_CAMBIOS_UNIDAD,DURACION_MEDIA_CARGO_ANIOS,DURACION_MEDIANA_CARGO_ANIOS,DURACION_MAX_CARGO_ANIOS,N_UNIDADES_TOTAL,N_UNIDADES_SIGNIFICATIVAS,PROPORCION_CARGOS_SIGNIFICATIVOS
26,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de SUBDECANO(A) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 8 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR en DESCONOCIDA (en 1999); ... (10 cargos intermedios omitidos) ...; PROFESOR TITULAR AGREGADO 3 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (en 2023); PROFESOR TITULAR AGREGADO 3 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (en 2024); PROFESOR TITULAR AGREGADO 3 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (en 2024); DECANO(A) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (en 2025); DECANO(A) en DECANATO DE POSGRADO (en 2025); SUBDECANO(A) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (en 2025); PROFESOR TITULAR AGREGADO 3 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (2025-2026); SUBDECANO(A) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (desde 2025); PROFESOR TITULAR AGREGADO 3 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (en 2026).
Movilidad: Ha realizado 12 cambios de cargo y 7 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 0.6 años y la duración mediana es de 0.1 años. Su cargo de mayor duración se mantuvo durante 4.7 años.
Estabilidad: Su trayectoria está formada principalmente por períodos cortos, con una duración mediana de 0.1 años por cargo.
Movilidad profesional: Ha ocupado varios cargos a lo largo de su trayectoria (12 cambios de cargo), con cambios entre distintas unidades (7 cambios de unidad).
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 4.7 años). Múltiples cambios de cargo a lo largo de su trayectoria (12). Múltiples cambios de unidad a lo largo de su trayectoria (7). Predominio de períodos cortos en su historial de cargos.",20,8,12,7,0.55,0.15,4.7,4,2,0.4
39,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS en DESCONOCIDA y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS en DESCONOCIDA (2016-2017).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 1.0 años y la duración mediana es de 1.0 años. Su cargo de mayor duración se mantuvo durante 1.0 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.0 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",1,1,0,0,0.97,0.97,0.97,1,1,1.0
86,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR TITULAR AUXILIAR 1 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 8 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: INGENIERO DE PROYECTO 2 en DESCONOCIDA (en 1986); ... (4 cargos intermedios omitidos) ...; PERITO DE SERVICIOS DE AGUA POTABLE en DESCONOCIDA (2003-2004); PROFESOR PREGRADO en DESCONOCIDA (2008-2009); PROFESOR PREGRADO en DESCONOCIDA (2010-2011); PROFESOR TITULAR AUXILIAR 1 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (desde 2011); DECANO(A) en GERENCIA DE TECNOLOGÍAS Y SISTEMAS DE INFORMACIÓN (en 2015); SUBDECANO(A) en DESCONOCIDA (en 2015); SUBDECANO(A) en DESCONOCIDA (2016-2017); DECANO(A) en DESCONOCIDA (en 2018); SUBDECANO(A) en DESCONOCIDA (en 2018).
Movilidad: Ha realizado 10 cambios de cargo y 3 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 1.7 años y la duración mediana es de 0.5 años. Su cargo de mayor duración se mantuvo durante 15.3 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.5 años por cargo.
Movilidad profesional: Ha ocupado varios cargos a lo largo de su trayectoria (10 cambios de cargo), con cambios entre distintas unidades (3 cambios de unidad).
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 15.3 años). Múltiples cambios de cargo a lo largo de su trayectoria (10). Múltiples cambios de unidad a lo largo de su trayectoria (3).",14,8,10,3,1.68,0.54,15.29,3,2,0.571
90,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL 1 (TP) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 11 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: AYUDANTE TÉCNICO DE LABORATORIO DE SÓLIDOS en DESCONOCIDA (1983-1990); ... (2 cargos intermedios omitidos) ...; COORDINADOR DE CALIDAD en DESCONOCIDA (2010-2012); DIRECTOR DE SERVICIOS GENERALES en DESCONOCIDA (2012-2013); DIRECTOR DE SERVICIOS GENERALES en DESCONOCIDA (en 2014); COORDINADOR DE CALIDAD en DESCONOCIDA (en 2014); PROFESOR NO TITULAR OCASIONAL (TP) en DESCONOCIDA (en 2015); ANALISTA DE PROYECTOS DE VINCULACIÓN 3 en DESCONOCIDA (2015-2022); PROFESOR NO TITULAR OCASIONAL (TP) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (2015-2016); PROFESOR NO TITULAR OCASIONAL 1 (TP) en DESCONOCIDA (en 2016); PROFESOR NO TITULAR OCASIONAL 1 (TP) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (2016-2017).
Movilidad: Ha realizado 9 cambios de cargo y 3 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 3.3 años y la duración mediana es de 0.6 años. Su cargo de mayor duración se mantuvo durante 18.0 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.6 años por cargo.
Movilidad profesional: Ha ocupado varios cargos a lo largo de su trayectoria (9 cambios de cargo), con cambios entre distintas unidades (3 cambios de unidad).
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 18.0 años). Múltiples cambios de cargo a lo largo de su trayectoria (9). Múltiples cambios de unidad a lo largo de su trayectoria (3). Predominio de períodos prolongados en su historial de cargos.",12,11,9,3,3.31,0.62,17.99,2,2,0.917
94,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 3 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (1994-1995); PROFESOR PREGRADO en DESCONOCIDA (1999-2010); PROFESOR PREGRADO en DESCONOCIDA (2012-2013); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS (desde 2014).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 5.9 años y la duración mediana es de 5.7 años. Su cargo de mayor duración se mantuvo durante 12.0 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 5.7 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 12.0 años).",4,3,1,1,5.89,5.68,11.96,2,2,0.75
96,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR TITULAR PRINCIPAL 2 (TC) en FACULTAD DE CIENCIAS DE LA VIDA y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 12 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (1999-2000); ... (6 cargos intermedios omitidos) ...; COORDINACION GENERAL DEL PROYECTO en DESCONOCIDA (en 2004); PROFESOR TITULAR PRINCIPAL (TC) en VICERRECTORADO ACADÉMICO (2005-2014); DECANO(A) en DECANATO DE POSGRADO (2014-2015); PROFESOR TITULAR PRINCIPAL 1 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (en 2014); PROFESOR TITULAR PRINCIPAL 2 (TC) en FACULTAD DE CIENCIAS DE LA VIDA (desde 2015); DECANO(A) en DESCONOCIDA (2015-2016); SUBDECANO(A) en DESCONOCIDA (en 2016); DECANO(A) en DESCONOCIDA (en 2016); RECTOR en RECTORADO (2017-2022).
Movilidad: Ha realizado 14 cambios de cargo y 6 cambios de unidad. Ha desarrollado su trayectoria en 5 unidades.
Permanencia: La duración media de sus cargos es de 2.1 años y la duración mediana es de 0.9 años. Su cargo de mayor duración se mantuvo durante 11.3 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.9 años por cargo.
Movilidad profesional: Ha ocupado varios cargos a lo largo de su trayectoria (14 cambios de cargo), con cambios entre distintas unidades (6 cambios de unidad).
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 11.3 años). Múltiples cambios de cargo a lo largo de su trayectoria (14). Múltiples cambios de unidad a lo largo de su trayectoria (6). Trayectoria distribuida entre varias unidades (5).",16,12,14,6,2.06,0.9,11.28,6,5,0.75
102,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TP) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR NO TITULAR OCASIONAL (TP) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (2022-2023).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 0.8 años y la duración mediana es de 0.8 años. Su cargo de mayor duración se mantuvo durante 0.8 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.8 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",1,1,0,0,0.75,0.75,0.75,1,1,1.0
129,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 5 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: COORDINADOR DEL ÁREA DE MAESTRÍA en DESCONOCIDA (1997-1998); PROFESOR PREGRADO en DESCONOCIDA (1997-1999); PROFESOR PREGRADO en DESCONOCIDA (2000-2007); PROFESOR PREGRADO en DESCONOCIDA (2008-2013); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS (2014-2025).
Movilidad: Ha realizado 2 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 5.1 años y la duración mediana es de 5.0 años. Su cargo de mayor duración se mantuvo durante 10.6 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 5.0 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 10.6 años). Predominio de períodos prolongados en su historial de cargos.",5,5,2,1,5.06,4.98,10.62,2,2,1.0
130,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR TITULAR AGREGADO 1 (TC) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR en DESCONOCIDA (en 1986); PROFESOR en DESCONOCIDA (en 1988); PROFESOR en DESCONOCIDA (en 1989); PROFESOR ACCIDENTAL en DESCONOCIDA (1994-1995); PROFESOR TITULAR AGREGADO 1 (TC) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (desde 1995).
Movilidad: Ha realizado 2 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 6.5 años y la duración mediana es de 0.2 años. Su cargo de mayor duración se mantuvo durante 31.7 años.
Estabilidad: Su trayectoria está formada principalmente por períodos cortos, con una duración mediana de 0.2 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 31.7 años). Predominio de períodos cortos en su historial de cargos.",5,2,2,1,6.54,0.25,31.7,2,2,0.4
132,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 4 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (1990-1991); PROFESOR PREGRADO en DESCONOCIDA (en 1991); PROFESOR PREGRADO en DESCONOCIDA (2004-2008); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS (2014-2020).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 2.7 años y la duración mediana es de 2.5 años. Su cargo de mayor duración se mantuvo durante 5.4 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.5 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 5.4 años). Predominio de períodos prolongados en su historial de cargos.",4,4,1,1,2.71,2.55,5.39,2,2,1.0
