IDPERSONA,CARGO,UNIDAD,INICIO,FIN,DURACION_ANIOS,ES_SIGNIFICATIVO,ES_PARALELO
26,PROFESOR,DESCONOCIDA,1999-03-03,1999-05-25,0.23,False,False
26,PROFESOR,DESCONOCIDA,2002-05-20,2004-09-25,2.35,True,False
26,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2014-08-01,2019-04-15,4.7,True,True
26,TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS,FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,2016-11-26,2016-11-26,0.0,False,True
26,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2020-03-23,2020-04-05,0.04,False,False
26,SUBDECANO(A),DESCONOCIDA,2021-03-01,2021-07-17,0.38,True,True
26,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2021-03-15,2021-04-12,0.08,False,True
26,SUBDECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2021-08-23,2021-09-21,0.08,False,False
26,SUBDECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2021-12-29,2022-08-06,0.6,True,True
26,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2022-03-28,2022-04-22,0.07,False,True
26,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2022-09-12,2022-12-30,0.3,True,False
26,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2023-09-18,2023-12-29,0.28,True,False
26,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2024-04-01,2024-05-02,0.08,False,False
26,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2024-12-26,2024-12-31,0.01,False,False
26,DECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2025-02-17,2025-03-05,0.04,False,False
26,DECANO(A),DECANATO DE POSGRADO,2025-04-12,2025-04-14,0.01,False,False
26,SUBDECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2025-04-26,2025-07-01,0.18,False,False
26,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2025-09-15,2026-03-13,0.49,True,True
26,SUBDECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2025-10-02,,0.96,True,True
26,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2026-06-25,2026-08-07,0.12,False,True
39,TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS,DESCONOCIDA,2016-12-09,2017-11-30,0.97,True,False
86,INGENIERO DE PROYECTO 2,DESCONOCIDA,1986-03-01,1986-04-30,0.16,False,False
86,INGENIERO DE PROYECTO 1,DESCONOCIDA,1986-05-02,1987-02-01,0.75,True,False
86,INGENIERO DE PROYECTO 1,DESCONOCIDA,1987-05-11,1987-08-10,0.25,False,False
