FEATURE,TIPO,TRANSFORMACION,ESCALAMIENTO,FUENTE
num__NUM_TITULACIONES,numerica,standardscaler,StandardScaler,NUM_TITULACIONES
num__NUM_TIT_BACHILLERATO,numerica,standardscaler,StandardScaler,NUM_TIT_BACHILLERATO
num__NUM_TIT_CUARTO_NIVEL,numerica,standardscaler,StandardScaler,NUM_TIT_CUARTO_NIVEL
num__NUM_TIT_TERCER_NIVEL,numerica,standardscaler,StandardScaler,NUM_TIT_TERCER_NIVEL
num__NUM_CAPACITACIONES,numerica,log1p+standardscaler,StandardScaler,NUM_CAPACITACIONES
num__SUMA_DURACION_CAPACITACIONES,numerica,log1p+standardscaler,StandardScaler,SUMA_DURACION_CAPACITACIONES
num__NUM_CAPACITACIONES_APROBACION,numerica,log1p+standardscaler,StandardScaler,NUM_CAPACITACIONES_APROBACION
num__NUM_CAPACITACIONES_VIRTUAL,numerica,log1p+standardscaler,StandardScaler,NUM_CAPACITACIONES_VIRTUAL
num__NUM_CAPACITACIONES_PRESENCIAL,numerica,log1p+standardscaler,StandardScaler,NUM_CAPACITACIONES_PRESENCIAL
num__NUM_CERTIFICACIONES,numerica,log1p+standardscaler,StandardScaler,NUM_CERTIFICACIONES
num__SUMA_DURACION_CERTIFICACIONES,numerica,log1p+standardscaler,StandardScaler,SUMA_DURACION_CERTIFICACIONES
num__NUM_PONENCIAS,numerica,log1p+standardscaler,StandardScaler,NUM_PONENCIAS
num__SUMA_DURACION_PONENCIAS,numerica,log1p+standardscaler,StandardScaler,SUMA_DURACION_PONENCIAS
num__NUM_CURSOS,numerica,standardscaler,StandardScaler,NUM_CURSOS
num__NUM_PERIODOS_DOCENCIA,numerica,standardscaler,StandardScaler,NUM_PERIODOS_DOCENCIA
num__TOTAL_HORAS_DOCENCIA,numerica,standardscaler,StandardScaler,TOTAL_HORAS_DOCENCIA
num__TOTAL_ESTUDIANTES,numerica,log1p+standardscaler,StandardScaler,TOTAL_ESTUDIANTES
num__PROMEDIO_ESTUDIANTES_POR_CURSO,numerica,standardscaler,StandardScaler,PROMEDIO_ESTUDIANTES_POR_CURSO
num__NUM_ACTIVIDADES_POLITECNICAS,numerica,standardscaler,StandardScaler,NUM_ACTIVIDADES_POLITECNICAS
num__NUM_ACTIVIDADES_T1,numerica,standardscaler,StandardScaler,NUM_ACTIVIDADES_T1
num__NUM_ACTIVIDADES_T2,numerica,standardscaler,StandardScaler,NUM_ACTIVIDADES_T2
num__NUM_ACTIVIDADES_T3,numerica,standardscaler,StandardScaler,NUM_ACTIVIDADES_T3
num__TOTAL_HORAS_POLITECNICAS,numerica,standardscaler,StandardScaler,TOTAL_HORAS_POLITECNICAS
num__NUM_EXPERIENCIAS_EXTERNAS,numerica,log1p+standardscaler,StandardScaler,NUM_EXPERIENCIAS_EXTERNAS
num__NUM_EXPERIENCIAS_ACADEMICAS,numerica,log1p+standardscaler,StandardScaler,NUM_EXPERIENCIAS_ACADEMICAS
num__NUM_EXPERIENCIAS_ADMINISTRATIVAS,numerica,log1p+standardscaler,StandardScaler,NUM_EXPERIENCIAS_ADMINISTRATIVAS
num__NUM_EXPERIENCIAS_POR_CLASIFICAR,numerica,log1p+standardscaler,StandardScaler,NUM_EXPERIENCIAS_POR_CLASIFICAR
num__NUM_EXPERIENCIAS_ROL_PROFESOR,numerica,log1p+standardscaler,StandardScaler,NUM_EXPERIENCIAS_ROL_PROFESOR
num__NUM_IDIOMAS,numerica,standardscaler,StandardScaler,NUM_IDIOMAS
num__NUM_IDIOMAS_NO_NATIVOS,numerica,standardscaler,StandardScaler,NUM_IDIOMAS_NO_NATIVOS
num__NUM_IDIOMAS_CON_NIVELMCER,numerica,log1p+standardscaler,StandardScaler,NUM_IDIOMAS_CON_NIVELMCER
num__NUM_EVALUACIONES,numerica,log1p+standardscaler,StandardScaler,NUM_EVALUACIONES
num__PROMEDIO_HETEROEVALUACION,numerica,standardscaler,StandardScaler,PROMEDIO_HETEROEVALUACION
num__TOTAL_REGISTRADOS,numerica,log1p+standardscaler,StandardScaler,TOTAL_REGISTRADOS
num__TOTAL_EVALUADOS,numerica,log1p+standardscaler,StandardScaler,TOTAL_EVALUADOS
num__COBERTURA_EVALUACION,numerica,standardscaler,StandardScaler,COBERTURA_EVALUACION
num__NUM_RECONOCIMIENTOS,numerica,log1p+standardscaler,StandardScaler,NUM_RECONOCIMIENTOS
num__NUM_TIPOS_RECONOCIMIENTO_DISTINTOS,numerica,log1p+standardscaler,StandardScaler,NUM_TIPOS_RECONOCIMIENTO_DISTINTOS
num__NUM_PROYECTOS_GRADO_DIRIGIDOS,numerica,log1p+standardscaler,StandardScaler,NUM_PROYECTOS_GRADO_DIRIGIDOS
num__NUM_PROGRAMAS_TITULACION_DISTINTOS,numerica,log1p+standardscaler,StandardScaler,NUM_PROGRAMAS_TITULACION_DISTINTOS
num__NUM_PROYECTOS_INVESTIGACION,numerica,log1p+standardscaler,StandardScaler,NUM_PROYECTOS_INVESTIGACION
num__NUM_PROYECTOS_ACTIVOS,numerica,log1p+standardscaler,StandardScaler,NUM_PROYECTOS_ACTIVOS
num__NUM_PROYECTOS_FINALIZADOS,numerica,log1p+standardscaler,StandardScaler,NUM_PROYECTOS_FINALIZADOS
num__NUM_PROYECTOS_COMO_DIRECTOR,numerica,log1p+standardscaler,StandardScaler,NUM_PROYECTOS_COMO_DIRECTOR
num__NUM_PROYECTOS_COMO_CODIRECTOR,numerica,log1p+standardscaler,StandardScaler,NUM_PROYECTOS_COMO_CODIRECTOR
num__NUM_PROYECTOS_COMO_PARTICIPANTE,numerica,log1p+standardscaler,StandardScaler,NUM_PROYECTOS_COMO_PARTICIPANTE
num__NUM_PROYECTOS_VINCULACION,numerica,log1p+standardscaler,StandardScaler,NUM_PROYECTOS_VINCULACION
num__NUM_VINCULACION_TUTOR,numerica,log1p+standardscaler,StandardScaler,NUM_VINCULACION_TUTOR
num__NUM_VINCULACION_DIRECTOR_PROYECTO,numerica,log1p+standardscaler,StandardScaler,NUM_VINCULACION_DIRECTOR_PROYECTO
num__NUM_VINCULACION_DIRECTOR_PROGRAMA,numerica,log1p+standardscaler,StandardScaler,NUM_VINCULACION_DIRECTOR_PROGRAMA
num__NUM_PUBLICACIONES,numerica,log1p+standardscaler,StandardScaler,NUM_PUBLICACIONES
num__NUM_PUBLICACIONES_INDEXADAS,numerica,log1p+standardscaler,StandardScaler,NUM_PUBLICACIONES_INDEXADAS
num__NUM_PUBLICACIONES_REVISION_PARES,numerica,log1p+standardscaler,StandardScaler,NUM_PUBLICACIONES_REVISION_PARES
num__NUM_PUBLICACIONES_Q1,numerica,log1p+standardscaler,StandardScaler,NUM_PUBLICACIONES_Q1
num__NUM_PUBLICACIONES_Q2,numerica,log1p+standardscaler,StandardScaler,NUM_PUBLICACIONES_Q2
num__N_REGISTROS_HISTORIAL,numerica,standardscaler,StandardScaler,N_REGISTROS_HISTORIAL
num__N_CONTRATOS_TOTAL,numerica,log1p+standardscaler,StandardScaler,N_CONTRATOS_TOTAL
num__N_CARGOS_DISTINTOS,numerica,log1p+standardscaler,StandardScaler,N_CARGOS_DISTINTOS
num__N_UNIDADES_DISTINTAS,numerica,log1p+standardscaler,StandardScaler,N_UNIDADES_DISTINTAS
num__N_FACULTADES_DISTINTAS,numerica,standardscaler,StandardScaler,N_FACULTADES_DISTINTAS
num__N_REGIMENES_DISTINTOS,numerica,standardscaler,StandardScaler,N_REGIMENES_DISTINTOS
num__ANIOS_EXPERIENCIA_DOCENTE,numerica,log1p+standardscaler,StandardScaler,ANIOS_EXPERIENCIA_DOCENTE
num__ANIOS_EXPERIENCIA_ADMINISTRATIVO,numerica,log1p+standardscaler,StandardScaler,ANIOS_EXPERIENCIA_ADMINISTRATIVO
num__N_DEDICACIONES_DOCENTE_DISTINTAS,numerica,standardscaler,StandardScaler,N_DEDICACIONES_DOCENTE_DISTINTAS
num__PROPORCION_CONTRATOS_FINALIZADOS,numerica,standardscaler,StandardScaler,PROPORCION_CONTRATOS_FINALIZADOS
num__ANTIGUEDAD_EFECTIVA_ANIOS,numerica,standardscaler,StandardScaler,ANTIGUEDAD_EFECTIVA_ANIOS
num__ANTIGUEDAD_CALENDARIO_ANIOS,numerica,standardscaler,StandardScaler,ANTIGUEDAD_CALENDARIO_ANIOS
num__N_REINGRESOS,numerica,log1p+standardscaler,StandardScaler,N_REINGRESOS
num__PROPORCION_CAPACITACIONES_APROBADAS,numerica,standardscaler,StandardScaler,PROPORCION_CAPACITACIONES_APROBADAS
num__HORAS_PROMEDIO_POR_ACTIVIDAD_POLITECNICA,numerica,standardscaler,StandardScaler,HORAS_PROMEDIO_POR_ACTIVIDAD_POLITECNICA
num__NUM_PUBLICACIONES_POR_ANIO,numerica,log1p+standardscaler,StandardScaler,NUM_PUBLICACIONES_POR_ANIO
num__NUM_PROYECTOS_INVESTIGACION_POR_ANIO,numerica,log1p+standardscaler,StandardScaler,NUM_PROYECTOS_INVESTIGACION_POR_ANIO
num__NIVEL_ACADEMICO_MAXIMO_ORD,ordinal,standardscaler,StandardScaler,NIVEL_ACADEMICO_MAXIMO
nom__REGIMEN_INICIAL_DESC_CONTRATO CIVIL,categorica_nominal,one_hot_encoding,ninguno (0/1),REGIMEN_INICIAL_DESC
nom__REGIMEN_INICIAL_DESC_CT - CODIGO DE TRABAJO,categorica_nominal,one_hot_encoding,ninguno (0/1),REGIMEN_INICIAL_DESC
nom__REGIMEN_INICIAL_DESC_DESCONOCIDO,categorica_nominal,one_hot_encoding,ninguno (0/1),REGIMEN_INICIAL_DESC
nom__REGIMEN_INICIAL_DESC_LOES - LEY ORGANICA DE EDUCACION SUPERIOR,categorica_nominal,one_hot_encoding,ninguno (0/1),REGIMEN_INICIAL_DESC
nom__REGIMEN_INICIAL_DESC_LOSEP - LEY ORGANICA DE SERVICIO PUBLICO,categorica_nominal,one_hot_encoding,ninguno (0/1),REGIMEN_INICIAL_DESC
nom__REGIMEN_ACTUAL_DESC_CONTRATO CIVIL,categorica_nominal,one_hot_encoding,ninguno (0/1),REGIMEN_ACTUAL_DESC
nom__REGIMEN_ACTUAL_DESC_CT - CODIGO DE TRABAJO,categorica_nominal,one_hot_encoding,ninguno (0/1),REGIMEN_ACTUAL_DESC
nom__REGIMEN_ACTUAL_DESC_DESCONOCIDO,categorica_nominal,one_hot_encoding,ninguno (0/1),REGIMEN_ACTUAL_DESC
nom__REGIMEN_ACTUAL_DESC_LOES - LEY ORGANICA DE EDUCACION SUPERIOR,categorica_nominal,one_hot_encoding,ninguno (0/1),REGIMEN_ACTUAL_DESC
nom__REGIMEN_ACTUAL_DESC_LOSEP - LEY ORGANICA DE SERVICIO PUBLICO,categorica_nominal,one_hot_encoding,ninguno (0/1),REGIMEN_ACTUAL_DESC
nom__TIPOEMPLEADO_ACTUAL_DESC_ADMINISTRATIVO,categorica_nominal,one_hot_encoding,ninguno (0/1),TIPOEMPLEADO_ACTUAL_DESC
nom__TIPOEMPLEADO_ACTUAL_DESC_DESCONOCIDO,categorica_nominal,one_hot_encoding,ninguno (0/1),TIPOEMPLEADO_ACTUAL_DESC
nom__TIPOEMPLEADO_ACTUAL_DESC_DOCENTE,categorica_nominal,one_hot_encoding,ninguno (0/1),TIPOEMPLEADO_ACTUAL_DESC
nom__DEDICACION_DOCENTE_ACTUAL_DESCONOCIDO,categorica_nominal,one_hot_encoding,ninguno (0/1),DEDICACION_DOCENTE_ACTUAL
nom__DEDICACION_DOCENTE_ACTUAL_Medio Tiempo,categorica_nominal,one_hot_encoding,ninguno (0/1),DEDICACION_DOCENTE_ACTUAL
nom__DEDICACION_DOCENTE_ACTUAL_No Aplica,categorica_nominal,one_hot_encoding,ninguno (0/1),DEDICACION_DOCENTE_ACTUAL
nom__DEDICACION_DOCENTE_ACTUAL_Tiempo Completo,categorica_nominal,one_hot_encoding,ninguno (0/1),DEDICACION_DOCENTE_ACTUAL
nom__DEDICACION_DOCENTE_ACTUAL_Tiempo Parcial,categorica_nominal,one_hot_encoding,ninguno (0/1),DEDICACION_DOCENTE_ACTUAL
nom__DEDICACION_DOCENTE_MAS_FRECUENTE_DESCONOCIDO,categorica_nominal,one_hot_encoding,ninguno (0/1),DEDICACION_DOCENTE_MAS_FRECUENTE
nom__DEDICACION_DOCENTE_MAS_FRECUENTE_Medio Tiempo,categorica_nominal,one_hot_encoding,ninguno (0/1),DEDICACION_DOCENTE_MAS_FRECUENTE
nom__DEDICACION_DOCENTE_MAS_FRECUENTE_No Aplica,categorica_nominal,one_hot_encoding,ninguno (0/1),DEDICACION_DOCENTE_MAS_FRECUENTE
nom__DEDICACION_DOCENTE_MAS_FRECUENTE_Tiempo Completo,categorica_nominal,one_hot_encoding,ninguno (0/1),DEDICACION_DOCENTE_MAS_FRECUENTE
