IDPERSONA,INDICE_X_MODELADO
315,0
651104,1
568,2
97530,3
597,4
398,5
618,6
59059,7
414,8
419,9
654387,10
215,11
653,12
648616,13
716,14
3454,15
3578,16
648639,17
6847,18
3680,19
649047,20
3309,21
671,22
692,23
653010,24
3310,25
709,26
6811,27
725,28
216,29
679,30
13351,31
86,32
69235,33
705,34
95516,35
99083,36
217,37
3455,38
17054,39
858,40
678,41
768,42
17123,43
653814,44
649338,45
95473,46
3683,47
77401,48
820,49
787,50
797,51
769,52
675,53
78953,54
813,55
780,56
808,57
807,58
843,59
3760,60
805,61
819,62
801,63
844,64
6939,65
851,66
883,67
836,68
3593,69
862,70
815,71
762,72
733,73
129,74
667,75
97471,76
1583,77
6992,78
870,79
61594,80
869,81
866,82
3313,83
66660,84
3312,85
645724,86
874,87
946,88
103141,89
846,90
878,91
840,92
697,93
3685,94
865,95
18327,96
98973,97
1116,98
130,99
97468,100
654392,101
898,102
891,103
5290,104
654360,105
3600,106
1000,107
903,108
978,109
944,110
3255,111
893,112
912,113
939,114
7281,115
760,116
1032,117
969,118
953,119
7197,120
653827,121
3467,122
975,123
13663,124
954,125
651346,126
90,127
3771,128
919,129
923,130
69247,131
972,132
654361,133
938,134
641237,135
973,136
3465,137
103128,138
964,139
1033,140
921,141
636088,142
926,143
3471,144
7443,145
1013,146
5325,147
3612,148
19999,149
931,150
96324,151
1075,152
1061,153
648615,154
643899,155
7351,156
1038,157
97773,158
20698,159
11865,160
132,161
1041,162
1060,163
1268,164
645801,165
21004,166
5339,167
5336,168
23638,169
1123,170
97463,171
95251,172
13705,173
5337,174
1108,175
1202,176
1170,177
7374,178
850,179
1086,180
651295,181
660656,182
1255,183
1006,184
1045,185
21436,186
1212,187
1043,188
8331,189
1180,190
3774,191
3326,192
3777,193
1164,194
1168,195
1229,196
3275,197
67848,198
5323,199
22321,200
95549,201
7809,202
640644,203
98980,204
7726,205
1094,206
1247,207
1153,208
1176,209
98966,210
1219,211
21772,212
1001,213
102085,214
5307,215
11509,216
95607,217
3466,218
97637,219
1205,220
103189,221
135,222
7389,223
1246,224
22230,225
651135,226
1232,227
3727,228
22233,229
3619,230
1375,231
981,232
1400,233
95565,234
1231,235
1101,236
61664,237
654364,238
660726,239
649239,240
662684,241
94,242
1140,243
669913,244
651324,245
1402,246
8244,247
1372,248
659627,249
1457,250
7265,251
3829,252
1360,253
3724,254
1308,255
59177,256
5831,257
5361,258
103195,259
23468,260
98968,261
1476,262
1485,263
988,264
22783,265
11234,266
67869,267
29289,268
1472,269
1335,270
23552,271
1230,272
8558,273
1373,274
1530,275
7308,276
651120,277
8335,278
649245,279
1211,280
1225,281
1135,282
49404,283
654374,284
5356,285
78867,286
100792,287
3765,288
102074,289
1278,290
40081,291
1411,292
66966,293
8757,294
1644,295
1220,296
1614,297
1586,298
8446,299
13703,300
1277,301
1339,302
1354,303
1555,304
98040,305
1063,306
6056,307
652580,308
1385,309
70512,310
102966,311
649313,312
999,313
61751,314
96499,315
652579,316
1598,317
103196,318
1517,319
1154,320
3728,321
1216,322
1554,323
103135,324
651108,325
26,326
654570,327
13708,328
7416,329
102314,330
61700,331
13756,332
3792,333
9326,334
11918,335
651323,336
3802,337
25856,338
