IDPERSONA,TIPOEMPLEADO_DESC,CATEGORIA_CARGO,CARGO,FECHAINICIOCONTRATO,FECHAFINCONTRATO,FECHADESVINCULACION,ESTADOCONTRATO,NOMBRE_UNIDAD,NIVELDOCENCIA
26,ADMINISTRATIVO,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2015-01-01,2015-02-28,2015-02-28,FF,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,
26,ADMINISTRATIVO,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2015-10-19,2015-10-23,2015-10-23,FF,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,
26,ADMINISTRATIVO,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - ACTIVIDADES DE CAPACITACIÓN,2016-04-22,2016-04-29,2016-04-29,FF,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,
26,ADMINISTRATIVO,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - ACTIVIDADES DE CAPACITACIÓN,2016-04-25,2016-04-29,2016-04-29,FF,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,
26,ADMINISTRATIVO,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - ACTIVIDADES DE CAPACITACIÓN,2016-06-11,2016-06-11,2016-06-11,FF,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,
26,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,PRESTACIÓN SERVICIOS PROFESIONALES,2020-03-06,2020-03-21,2020-03-21,FF,DESCONOCIDA,DOCENTE POSGRADO
26,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,PRESTACIÓN SERVICIOS PROFESIONALES,2021-05-14,2021-06-05,2021-06-05,FF,DESCONOCIDA,DOCENTE POSGRADO
26,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,PRESTACIÓN SERVICIOS PROFESIONALES,2022-05-27,2022-06-11,2022-06-11,FF,DESCONOCIDA,DOCENTE POSGRADO
26,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,PRESTACIÓN SERVICIOS PROFESIONALES,2023-05-19,2023-06-10,2023-06-10,FF,DESCONOCIDA,DOCENTE POSGRADO
26,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,PRESTACIÓN SERVICIOS PROFESIONALES,2024-05-31,2024-06-15,2024-06-15,FF,DESCONOCIDA,DOCENTE POSGRADO
26,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,PRESTACIÓN SERVICIOS PROFESIONALES,2026-01-19,2026-01-28,2026-01-28,FF,DESCONOCIDA,DOCENTE POSGRADO
26,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,PRESTACIÓN SERVICIOS PROFESIONALES,2026-01-30,2026-02-21,2026-02-21,FF,DESCONOCIDA,DOCENTE POSGRADO
26,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,PRESTACIÓN SERVICIOS PROFESIONALES,2026-06-20,2026-09-19,,AA,DESCONOCIDA,DOCENTE POSGRADO
38,DOCENTE,DOCENTE_HONORARIO_ESPECIAL,PROFESOR HONORARIO,2016-04-04,2016-09-23,2016-09-23,FF,DESCONOCIDA,DOCENTE PREGRADO
38,DOCENTE,DOCENTE_HONORARIO_ESPECIAL,PROFESOR HONORARIO,2016-10-10,2017-03-10,2017-03-10,FF,FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA,DOCENTE PREGRADO
