IDPERSONA,TIPO_EVENTO,FECHA_INICIO,FECHA_FIN,CATEGORIA,TIPOEMPLEADO,UNIDAD,DESCRIPCION,ES_VIGENTE
26,CARGO_ESPOL,1999-03-03,1999-05-25,DOCENTE_TITULAR_CARRERA,DOCENTE,DESCONOCIDA,PROFESOR,False
26,CARGO_ESPOL,2002-05-20,2002-09-27,DOCENTE_TITULAR_CARRERA,DOCENTE,DESCONOCIDA,PROFESOR,False
26,CARGO_ESPOL,2002-10-21,2003-03-07,DOCENTE_TITULAR_CARRERA,DOCENTE,DESCONOCIDA,PROFESOR,False
26,CARGO_ESPOL,2003-05-19,2003-09-27,DOCENTE_TITULAR_CARRERA,DOCENTE,DESCONOCIDA,PROFESOR,False
26,CARGO_ESPOL,2003-10-20,2004-03-08,DOCENTE_TITULAR_CARRERA,DOCENTE,DESCONOCIDA,PROFESOR,False
26,CARGO_ESPOL,2004-05-17,2004-09-25,DOCENTE_TITULAR_CARRERA,DOCENTE,DESCONOCIDA,PROFESOR,False
26,EXPERIENCIA_EXTERNA_EXTERIOR,2007-09-03,2010-12-31,ACADEMICA,,UNIVERSIDAD DE NAVARRA,becario,False
26,CARGO_ESPOL,2014-08-01,,DOCENTE_TITULAR_CARRERA,DOCENTE,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (FIMCP),PROFESOR TITULAR AGREGADO 3 (TC),True
26,CARGO_ESPOL,2015-01-01,2015-02-28,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (FIMCP),SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,False
26,CARGO_ESPOL,2015-10-19,2015-10-23,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (FIMCP),SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,False
26,FUNCION_ADICIONAL,2016-01-04,2019-01-03,OTROS_AA,,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Miembro del consejo directivo,False
26,CARGO_ESPOL,2016-04-22,2016-04-29,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (FIMCP),SERVICIOS PROFESIONALES - ACTIVIDADES DE CAPACITACIÓN,False
26,CARGO_ESPOL,2016-06-11,2016-06-11,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (FIMCP),SERVICIOS PROFESIONALES - ACTIVIDADES DE CAPACITACIÓN,False
26,CARGO_ESPOL_GRADO,2016-12-09,2017-01-08,JEFATURA_SUPERVISION_OPERATIVA,,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Coordinador de carrera — Ingeniería Mecánica,False
