IDPERSONA,N_TRAMOS_ROL,N_CATEGORIAS_ROL_DISTINTAS,CATEGORIA_CARGO_ACTUAL,TIPOEMPLEADO_CATEGORIA_ACTUAL,CARGO_ACTUAL_ESTRUCTURAL,UNIDAD_ACTUAL_ESTRUCTURAL,VIGENTE_TRAMO_ESTRUCTURAL,ANIOS_EN_CATEGORIA_ACTUAL,CATEGORIA_CARGO_PRIMERA,ES_TRAYECTORIA_ESTABLE,ES_MIXTO,CARGOS_ACTUALES_MIXTO,CATEGORIAS_ACTUALES_MIXTO,DURACION_MEDIANA_TRAMO_ANIOS,TURBULENCIA_TRAMOS,ENTROPIA_CATEGORIA_CARGO,PROPORCION_ANIOS_ADMINISTRATIVO,N_TRANSICIONES_ROL,N_TRANSICIONES_AA_A_DD,N_TRANSICIONES_DD_A_AA,TUVO_TRANSICION_AA_A_DD,TUVO_TRANSICION_DD_A_AA,ANIOS_DESDE_ULTIMA_TRANSICION,N_ROLES_ADICIONALES_SIMULTANEOS_DISTINTOS,CATEGORIA_ROL_ADICIONAL_MAS_RECIENTE,TUVO_ROL_ADICIONAL_SIMULTANEO,ANIOS_EN_UNIDAD_ACTUAL,TUVO_FUNCION_ADICIONAL,N_FUNCIONES_ADICIONALES,N_CATEGORIAS_FUNCION_ADICIONAL_DISTINTAS,TUVO_SUBROGACION,N_SUBROGACIONES,TUVO_FUNCION_NO_COINCIDENTE_CON_CONTRATO,CATEGORIA_FUNCION_ADICIONAL_MAS_RECIENTE,CARGO_PUNTUAL_VIGENTE,UNIDAD_PUNTUAL_VIGENTE,CATEGORIA_PUNTUAL_VIGENTE,TIPOEMPLEADO_PUNTUAL_VIGENTE
26,55,3,AUTORIDAD_ACADEMICA_SUPERIOR,DOCENTE,SUBDECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,True,0.06,DOCENTE_TITULAR_CARRERA,False,False,,,0.01,4.54,0.2472,0.0,19,1,1,True,True,0.06,1,DOCENTE_TITULAR_CARRERA,True,0.06,True,36,2,True,30,True,OTROS_AA,PRESTACIÓN SERVICIOS PROFESIONALES,DESCONOCIDA,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,DOCENTE
39,2,1,TECNICO_OPERATIVO_MANTENIMIENTO,ADMINISTRATIVO,TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS,DESCONOCIDA,False,0.91,TECNICO_OPERATIVO_MANTENIMIENTO,True,False,,,0.48,1.24,-0.0,1.0,0,0,0,False,False,,0,,False,0.91,False,0,0,False,0,False,,,,,
41,2,1,SERVICIOS_GENERALES_OFICIOS,ADMINISTRATIVO,CHOFER,DIRECCIÓN DE SERVICIOS GENERALES,False,18.41,SERVICIOS_GENERALES_OFICIOS,True,False,,,15.03,0.32,-0.0,1.0,0,0,0,False,False,,0,,False,4.74,False,0,0,False,0,False,,,,,
86,23,5,DOCENTE_TITULAR_CARRERA,DOCENTE,PROFESOR TITULAR AUXILIAR 1 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,True,15.29,PROFESIONAL_ANALISTA,False,False,,,0.16,3.21,0.8313,0.2468,4,1,0,True,False,11.5,1,AUTORIDAD_ACADEMICA_SUPERIOR,True,11.87,True,4,2,True,1,True,JEFATURA_SUPERVISION_OPERATIVA,,,,
90,13,6,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL 1 (TP),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,False,0.43,AUXILIAR_AYUDANTE_OPERATIVO,False,False,,,0.45,1.68,1.1481,0.9551,8,2,1,True,True,11.35,0,,False,0.0,True,1,1,False,0,True,OTROS_AA,,,,
94,24,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,True,11.96,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,0.37,2.71,0.0,0.0,0,0,0,False,False,,0,,False,9.7,True,2,1,False,0,True,JEFATURA_SUPERVISION_OPERATIVA,,,,
96,22,5,DOCENTE_TITULAR_CARRERA,DOCENTE,PROFESOR TITULAR PRINCIPAL 2 (TC),FACULTAD DE CIENCIAS DE LA VIDA,True,11.28,DOCENTE_TITULAR_CARRERA,False,False,,,0.37,2.01,0.8422,0.0876,11,4,4,True,True,10.82,0,,False,11.07,True,27,2,True,24,True,OTROS_AA,,,,
102,2,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,False,0.38,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,0.36,0.05,-0.0,0.0,0,0,0,False,False,,0,,False,0.38,False,0,0,False,0,False,,,,,
129,21,2,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,False,10.62,JEFATURA_SUPERVISION_OPERATIVA,False,False,,,0.37,2.11,0.1769,0.0428,1,1,0,True,False,29.31,0,,False,8.37,True,1,1,False,0,True,JEFATURA_SUPERVISION_OPERATIVA,,,,
130,5,2,DOCENTE_TITULAR_CARRERA,DOCENTE,PROFESOR TITULAR AGREGADO 1 (TC),FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,True,31.7,DOCENTE_TITULAR_CARRERA,False,False,,,0.25,2.15,0.0488,0.0,2,0,0,False,False,31.7,0,,False,13.7,False,0,0,False,0,False,,,,,
132,14,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,False,5.39,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,0.36,1.9,-0.0,0.0,0,0,0,False,False,,0,,False,3.14,False,0,0,False,0,False,,,,,
135,26,2,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,False,2.77,DOCENTE_NO_TITULAR_OCASIONAL,False,False,,,0.37,1.37,0.3233,0.0992,6,3,3,True,True,20.52,0,,False,2.77,False,0,0,False,0,False,,,,,
140,1,1,DOCENTE_TITULAR_CARRERA,DOCENTE,PROFESOR TITULAR AGREGADO (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,False,2.31,DOCENTE_TITULAR_CARRERA,True,False,,,2.31,,-0.0,0.0,0,0,0,False,False,,0,,False,1.97,False,0,0,False,0,False,,PRESTACIÓN SERVICIOS PROFESIONALES,DESCONOCIDA,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,DOCENTE
195,8,2,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,True,1.34,DOCENTE_NO_TITULAR_OCASIONAL,False,False,,,0.37,1.26,0.4104,0.143,2,1,1,True,True,21.33,0,,False,1.34,True,3,1,False,0,True,JEFATURA_SUPERVISION_OPERATIVA,,,,
215,7,4,OTROS_AA,ADMINISTRATIVO,EJECUCION ACTIVIDADES,DESCONOCIDA,False,0.01,DOCENTE_TITULAR_CARRERA,False,False,,,0.24,2.48,0.1903,0.0085,4,0,1,False,True,21.32,0,,False,11.33,True,1,1,False,0,True,OTROS_AA,,,,
216,4,3,PROFESIONAL_ANALISTA,ADMINISTRATIVO,ANALISTA ADMINISTRATIVO FINANCIERO DE CENTROS,DESCONOCIDA,False,0.0,JEFATURA_SUPERVISION_OPERATIVA,False,False,,,5.12,1.15,0.1622,1.0,3,0,0,False,False,11.71,0,,False,16.0,False,0,0,False,0,False,,,,,
217,10,3,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR,False,2.25,DOCENTE_NO_TITULAR_OCASIONAL,False,False,,,0.37,0.99,0.6096,0.2221,3,1,1,True,True,39.33,0,,False,2.25,False,0,0,False,0,False,,PROFESOR INVITADO,FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR,DOCENTE_HONORARIO_ESPECIAL,DOCENTE
228,6,4,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,True,12.34,ASISTENCIA_SECRETARIAL_OFICINA,False,False,,,0.81,1.46,0.7472,0.3888,3,1,1,True,True,9.47,0,,False,8.7,True,4,1,False,0,True,JEFATURA_SUPERVISION_OPERATIVA,,,,
229,2,2,PROFESIONAL_ANALISTA,ADMINISTRATIVO,ANALISTA FINANCIERO 1,GERENCIA FINANCIERA,True,11.7,AUXILIAR_AYUDANTE_OPERATIVO,False,False,,,10.27,0.2,0.6834,1.0,1,0,0,False,False,11.7,0,,False,11.7,False,0,0,False,0,False,,,,,
