IDPERSONA,IDCONTRATOLABORAL,CARGO,TIPOEMPLEADO_DESC,CATEGORIA_CARGO,ES_RUIDO_CALIDAD_DATOS,FECHAINICIOCONTRATO,FECHAFINCONTRATO,FECHADESVINCULACION
1750,8054,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2022-03-05,2022-03-13,2022-03-13
1098,5897,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2020-04-03,2020-04-25,2020-04-25
656058,6885,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2021-03-05,2021-03-14,2021-03-14
102964,6886,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2021-03-06,2021-03-28,2021-03-28
1043,6427,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2020-12-04,2021-01-10,2021-01-10
9416,3896,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2018-12-04,2019-01-03,2019-01-03
5515,7502,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2021-10-01,2021-11-28,2021-11-28
1153,7208,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2021-06-03,2021-06-26,2021-06-26
9416,5289,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2019-10-25,2019-11-24,2019-11-24
2308,6433,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2021-02-06,2021-02-28,2021-02-28
3439,6429,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2021-02-06,2021-02-28,
678,6430,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2021-02-05,2021-02-27,2021-02-27
95580,6431,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2021-01-15,2021-01-30,
4971,6682,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2020-12-04,2020-12-22,2020-12-22
656058,8049,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2022-03-25,2022-04-09,2022-04-09
988,5574,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2019-12-06,2020-01-05,2020-01-05
4714,11171,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2024-07-30,2024-08-04,2024-08-04
1315,6260,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2020-10-06,2020-10-24,
26237,6683,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2021-02-04,2021-02-28,2021-02-28
64241,13210,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2026-02-20,2026-03-08,2026-03-08
4231,13211,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2026-02-12,2026-03-07,2026-03-07
14155,13212,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2026-02-12,2026-03-07,2026-03-07
4082,13213,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2026-02-12,2026-03-07,2026-03-07
1006,1410,PRESTACIÓN SERVICIOS PROFESIONALES,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False,2017-06-16,2017-07-01,2017-07-01
