IDPERSONA,TIPOEMPLEADO_DESC,CATEGORIA_CARGO,TRAMO_INICIO,TRAMO_FIN,N_CONTRATOS,CARGO_TRAMO,UNIDAD_TRAMO,CATEGORIA_CARGO_BASE_SIMULTANEA
26,DOCENTE,DOCENTE_TITULAR_CARRERA,2026-09-07,,1,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,AUTORIDAD_ACADEMICA_SUPERIOR
86,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2019-09-16,2019-09-23,1,SUBDECANO(A),DESCONOCIDA,DOCENTE_TITULAR_CARRERA
231,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,2023-03-14,2023-03-31,1,DIRECTOR DE DESARROLLO DE APLICACIONES,GERENCIA DE TECNOLOGÍAS Y SISTEMAS DE INFORMACIÓN,PROFESIONAL_ANALISTA
231,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,2023-09-13,2023-09-16,1,DIRECTOR DE DESARROLLO DE APLICACIONES,GERENCIA DE TECNOLOGÍAS Y SISTEMAS DE INFORMACIÓN,PROFESIONAL_ANALISTA
667,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2025-02-17,2025-03-14,2,DECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,DOCENTE_TITULAR_CARRERA
667,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2025-04-05,2025-04-11,1,SUBDECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,DOCENTE_TITULAR_CARRERA
667,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2025-08-21,2025-09-05,1,SUBDECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,DOCENTE_TITULAR_CARRERA
667,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2025-09-10,2025-09-19,1,SUBDECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,DOCENTE_TITULAR_CARRERA
667,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-03-30,2026-04-02,1,DECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,DOCENTE_TITULAR_CARRERA
667,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-06-18,2026-06-19,1,DECANO(A),DECANATO DE INVESTIGACIÓN,DOCENTE_TITULAR_CARRERA
667,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-06-26,2026-07-03,1,SUBDECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,DOCENTE_TITULAR_CARRERA
667,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-07-27,2026-07-29,1,SUBDECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,DOCENTE_TITULAR_CARRERA
667,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-08-06,2026-08-07,1,SUBDECANO(A),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,DOCENTE_TITULAR_CARRERA
709,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2023-03-25,2023-03-29,1,DECANO(A),DECANATO DE VINCULACIÓN,DOCENTE_TITULAR_CARRERA
709,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2023-04-19,2023-04-24,1,DECANO(A),DECANATO DE VINCULACIÓN,DOCENTE_TITULAR_CARRERA
709,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2023-09-07,2023-09-08,1,DECANO(A),DECANATO DE VINCULACIÓN,DOCENTE_TITULAR_CARRERA
709,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-07-12,2026-07-18,1,DECANO(A),FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR,DOCENTE_TITULAR_CARRERA
768,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2020-01-23,2020-01-31,1,SUBDECANO(A),DESCONOCIDA,DOCENTE_TITULAR_CARRERA
768,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2021-09-27,2021-10-05,1,SUBDECANO(A),DESCONOCIDA,DOCENTE_TITULAR_CARRERA
768,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2022-04-12,2022-04-22,1,SUBDECANO(A),FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR,DOCENTE_TITULAR_CARRERA
768,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2022-08-15,2022-08-19,1,SUBDECANO(A),FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR,DOCENTE_TITULAR_CARRERA
768,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2023-08-14,2023-08-18,1,SUBDECANO(A),FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR,DOCENTE_TITULAR_CARRERA
768,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2023-09-25,2023-09-29,1,DECANO(A),FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR,DOCENTE_TITULAR_CARRERA
