IDPERSONA,TIPOEMPLEADO_DESC,CATEGORIA_CARGO,TRAMO_INICIO,TRAMO_FIN,N_CONTRATOS,CARGO_TRAMO,UNIDAD_TRAMO
26,DOCENTE,DOCENTE_TITULAR_CARRERA,1999-03-03,1999-05-25,1,PROFESOR,DESCONOCIDA
26,DOCENTE,DOCENTE_TITULAR_CARRERA,2002-05-20,2002-09-27,1,PROFESOR,DESCONOCIDA
26,DOCENTE,DOCENTE_TITULAR_CARRERA,2002-10-21,2003-03-07,2,PROFESOR,DESCONOCIDA
26,DOCENTE,DOCENTE_TITULAR_CARRERA,2003-05-19,2003-09-27,2,PROFESOR,DESCONOCIDA
26,DOCENTE,DOCENTE_TITULAR_CARRERA,2003-10-20,2004-03-08,1,PROFESOR,DESCONOCIDA
26,DOCENTE,DOCENTE_TITULAR_CARRERA,2004-05-17,2004-09-25,2,PROFESOR,DESCONOCIDA
26,DOCENTE,DOCENTE_TITULAR_CARRERA,2014-08-01,,23,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
39,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,2016-12-09,2016-12-31,1,TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS,DESCONOCIDA
39,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,2017-01-03,2017-11-30,1,TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS,DESCONOCIDA
41,ADMINISTRATIVO,SERVICIOS_GENERALES_OFICIOS,1993-05-10,2004-12-30,16,CHOFER,DESCONOCIDA
41,ADMINISTRATIVO,SERVICIOS_GENERALES_OFICIOS,2005-05-01,2023-09-30,26,CHOFER,DIRECCIÓN DE SERVICIOS GENERALES
86,ADMINISTRATIVO,PROFESIONAL_ANALISTA,1986-03-01,1986-04-30,1,INGENIERO DE PROYECTO 2,DESCONOCIDA
86,ADMINISTRATIVO,PROFESIONAL_ANALISTA,1986-05-02,1987-02-01,4,INGENIERO DE PROYECTO 1,DESCONOCIDA
86,ADMINISTRATIVO,PROFESIONAL_ANALISTA,1987-05-11,1987-08-10,1,INGENIERO DE PROYECTO 1,DESCONOCIDA
86,ADMINISTRATIVO,PROFESIONAL_ANALISTA,1987-11-01,1988-02-29,1,INVESTIGADOR ASOCIADO,DESCONOCIDA
86,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,1991-03-15,1993-11-30,8,SUPERVISOR DE PROYECTO,DESCONOCIDA
86,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,1994-01-01,1994-04-30,1,SUPERVISOR DE PROYECTO,DESCONOCIDA
86,ADMINISTRATIVO,OTROS_AA,2003-04-01,2003-09-30,1,PERITO DE SERVICIOS DE AGUA POTABLE,DESCONOCIDA
86,ADMINISTRATIVO,OTROS_AA,2003-10-02,2004-04-30,1,PERITO DE SERVICIOS DE AGUA POTABLE,DESCONOCIDA
86,DOCENTE,DOCENTE_TITULAR_CARRERA,2008-05-19,2008-09-26,1,PROFESOR PREGRADO,DESCONOCIDA
86,DOCENTE,DOCENTE_TITULAR_CARRERA,2008-10-13,2009-03-02,1,PROFESOR PREGRADO,DESCONOCIDA
86,DOCENTE,DOCENTE_TITULAR_CARRERA,2010-05-18,2011-05-17,1,PROFESOR PREGRADO,DESCONOCIDA
86,DOCENTE,DOCENTE_TITULAR_CARRERA,2011-06-01,,19,PROFESOR TITULAR AUXILIAR 1 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
90,ADMINISTRATIVO,AUXILIAR_AYUDANTE_OPERATIVO,1983-08-03,1990-03-31,2,AYUDANTE TÉCNICO DE LABORATORIO DE SÓLIDOS,DESCONOCIDA
90,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,1990-04-01,1991-12-31,1,ASISTENTE TÉCNICO,DESCONOCIDA
90,ADMINISTRATIVO,PROFESIONAL_ANALISTA,1992-01-02,2009-12-31,1,ANALISTA,DESCONOCIDA
90,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,2010-01-01,2012-12-17,1,COORDINADOR DE CALIDAD,DESCONOCIDA
90,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,2012-12-18,2013-05-31,1,DIRECTOR DE SERVICIOS GENERALES,DESCONOCIDA
90,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,2014-06-01,2014-11-30,2,DIRECTOR DE SERVICIOS GENERALES,DESCONOCIDA
90,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,2014-12-01,2014-12-31,1,COORDINADOR DE CALIDAD,DESCONOCIDA
90,ADMINISTRATIVO,PROFESIONAL_ANALISTA,2015-01-01,2022-06-01,13,ANALISTA DE PROYECTOS DE VINCULACIÓN 3,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,1994-12-12,1995-03-03,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,1999-10-19,2000-03-03,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2000-05-05,2000-09-22,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2000-10-10,2001-02-23,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2001-05-21,2001-09-28,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2001-10-22,2002-03-02,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2002-05-20,2002-09-27,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2002-10-21,2003-03-07,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2003-05-19,2003-09-27,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2003-10-20,2004-03-08,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2004-05-17,2004-09-25,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2004-10-18,2005-03-08,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2005-05-16,2005-09-24,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2005-10-17,2006-03-03,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2006-05-15,2006-09-23,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2006-10-17,2007-03-06,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2007-05-14,2007-09-22,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2007-10-15,2008-03-05,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2008-05-19,2008-09-26,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2008-10-13,2009-03-02,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2009-05-18,2009-09-25,1,PROFESOR PREGRADO,DESCONOCIDA
