IDPERSONA,TRAMO_INICIO,TRAMO_FIN,N_CONTRATOS,UNIDAD_TRAMO
26,1999-03-03,1999-05-25,1,DESCONOCIDA
26,2002-05-20,2002-09-27,1,DESCONOCIDA
26,2002-10-21,2003-03-07,2,DESCONOCIDA
26,2003-05-19,2003-09-27,2,DESCONOCIDA
26,2003-10-20,2004-03-08,1,DESCONOCIDA
26,2014-08-01,2019-04-15,5,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2004-05-17,2004-09-25,2,DESCONOCIDA
26,2020-03-23,2020-04-05,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2021-03-01,2021-03-14,1,DESCONOCIDA
26,2021-04-19,2021-04-19,1,DESCONOCIDA
26,2021-04-26,2021-04-27,1,DESCONOCIDA
26,2021-05-03,2021-05-07,1,DESCONOCIDA
26,2021-07-02,2021-07-02,1,DESCONOCIDA
26,2021-07-14,2021-07-17,1,DESCONOCIDA
26,2021-03-15,2021-04-12,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2021-08-23,2021-09-21,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2021-12-29,2021-12-30,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2022-03-09,2022-03-21,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2022-03-24,2022-03-25,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2022-03-28,2022-04-22,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2022-04-27,2022-04-29,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2022-05-04,2022-05-07,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2022-05-30,2022-06-03,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2022-07-04,2022-07-12,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2022-08-03,2022-08-06,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2022-09-12,2022-09-16,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2022-09-28,2022-09-30,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2022-12-27,2022-12-30,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2023-09-18,2023-09-29,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2023-12-26,2023-12-29,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2024-04-01,2024-05-02,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2024-12-26,2024-12-31,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2025-02-17,2025-03-05,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2025-04-26,2025-05-01,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2025-06-25,2025-07-01,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2025-09-15,2025-09-26,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2025-10-02,2025-10-24,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2025-11-05,2025-11-07,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2025-11-25,2025-11-27,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2025-12-23,2025-12-31,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2026-01-27,2026-01-30,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2026-02-12,2026-02-13,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2026-03-02,2026-03-03,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2026-03-12,2026-03-13,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2026-03-23,2026-04-02,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2026-04-13,2026-04-17,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2026-04-29,2026-04-30,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
26,2026-05-16,2026-05-21,1,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
