N_CARGOS_TOTAL,N_CARGOS_SIGNIFICATIVOS,N_CAMBIOS_CARGO,N_CAMBIOS_UNIDAD,DURACION_MEDIA_CARGO_ANIOS,DURACION_MEDIANA_CARGO_ANIOS,DURACION_MAX_CARGO_ANIOS,N_UNIDADES_TOTAL,N_UNIDADES_SIGNIFICATIVAS,PROPORCION_CARGOS_SIGNIFICATIVOS,IDPERSONA
20,8,12,7,0.55,0.15,4.7,4,2,0.4,26
1,1,0,0,0.97,0.97,0.97,1,1,1.0,39
2,2,0,1,15.03,15.03,18.41,2,2,1.0,41
14,8,10,3,1.68,0.54,15.29,3,2,0.571,86
12,11,9,3,3.31,0.62,17.99,2,2,0.917,90
4,3,1,1,5.89,5.68,11.96,2,2,0.75,94
16,12,14,6,2.06,0.9,11.28,6,5,0.75,96
1,1,0,0,0.75,0.75,0.75,1,1,1.0,102
5,5,2,1,5.06,4.98,10.62,2,2,1.0,129
5,2,2,1,6.54,0.25,31.7,2,2,0.4,130
4,4,1,1,2.71,2.55,5.39,2,2,1.0,132
6,6,5,1,2.79,1.79,8.57,2,2,1.0,135
1,1,0,0,2.31,2.31,2.31,1,1,1.0,140
4,3,2,1,1.84,1.17,4.94,2,2,0.75,195
7,2,6,2,5.62,0.24,37.27,2,2,0.286,215
4,3,3,0,6.56,5.12,16.0,1,1,0.75,216
9,7,5,2,0.72,0.38,2.71,3,3,0.778,217
5,4,4,1,4.04,1.63,12.35,2,2,0.8,228
2,2,1,1,10.27,10.27,11.71,2,2,1.0,229
4,4,1,1,3.08,0.88,10.23,2,2,1.0,231
1,1,0,0,5.08,5.08,5.08,1,1,1.0,244
2,2,1,0,5.73,5.73,7.78,1,1,1.0,266
4,2,2,2,1.53,1.33,3.45,2,2,0.5,274
7,5,5,2,6.6,1.7,37.61,2,2,0.714,315
15,13,6,1,0.56,0.38,2.35,2,2,0.867,398
5,5,4,0,3.21,1.0,9.33,1,1,1.0,414
4,3,3,1,4.57,1.69,14.77,2,2,0.75,419
9,9,5,1,3.2,3.0,9.2,2,2,1.0,529
3,3,2,2,1.96,1.66,3.22,3,3,1.0,568
2,2,1,1,18.26,18.26,28.28,2,2,1.0,597
4,4,2,1,2.06,0.87,6.14,2,2,1.0,618
4,3,1,2,0.46,0.38,0.87,2,2,0.75,641
7,7,3,0,3.17,2.96,9.83,1,1,1.0,653
5,4,3,1,3.16,2.8,7.57,2,2,0.8,656
3,2,2,1,12.7,8.19,29.66,2,2,0.667,667
13,11,9,0,1.51,0.49,11.5,1,1,0.846,671
5,3,4,2,7.99,0.33,38.35,2,2,0.6,675
13,9,9,1,1.8,0.83,8.84,2,2,0.692,678
6,4,3,1,2.56,0.32,13.7,2,2,0.667,679
4,3,3,1,3.23,2.52,7.64,2,2,0.75,692
15,9,10,4,2.91,1.0,17.12,3,3,0.6,697
12,6,7,3,1.99,0.47,16.7,2,2,0.5,705
22,13,19,2,1.45,0.36,16.7,3,3,0.591,709
4,4,3,1,3.83,1.4,12.16,2,2,1.0,716
